node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
upterm	https://github.com/railsware/upterm	566	1	272	293	614	32	106	46	753	753	219	3	187	417	19690	1
weex	https://github.com/alibaba/weex	1363	17	263	1083	2121	11	8	2	1845	1845	535	0	6	1869	17554	0
hosts	https://github.com/kelthuzadx/hosts	470	0	184	286	8021	756	80	7	891	891	3	2	2	1893	17068	0
MS-DOS	https://github.com/microsoft/MS-DOS	370	250	86	34	2032	2	1000	14521	52	52	3	1	0	494	14125	0
WeChatPlugin-MacOS	https://github.com/TKkk-iOSer/WeChatPlugin-MacOS	22	3	12	7	2134	12	1	1	553	553	130	6	15	410	13285	0
chromeless	https://github.com/prisma-archive/chromeless	140	26	26	88	576	4	46	6	332	332	172	2	7	242	13267	0
electronic-wechat	https://github.com/geeeeeeeeek/electronic-wechat	98	10	29	59	2341	11	31	5	595	595	198	5	7	604	13020	0
git-recipes	https://github.com/geeeeeeeeek/git-recipes	38	2	12	24	2958	3	14	3	0	0	0	0	0	574	12321	0
github-do-not-ban-us	https://github.com/1995parham/github-do-not-ban-us	1289	0	90	1199	1344	7	946	4	307	307	6	59	0	133	12192	3712
create-react-native-app	https://github.com/react-community/create-react-native-app	111	0	47	64	1195	24	59	20	666	666	0	1	0	304	11746	0
react-redux-starter-kit	https://github.com/davezuko/react-redux-starter-kit	467	13	158	296	2236	91	109	2	882	882	117	3	26	319	10424	0
awesome-algorithm	https://github.com/apachecn/awesome-algorithm	251	0	13	238	2029	2	43	6	20	20	2	2	0	489	10384	61
TypeScript-React-Starter	https://github.com/microsoft/TypeScript-React-Starter	115	83	17	15	935	3	1000	14522	169	169	120	3	0	185	9706	5
xray	https://github.com/atom-archive/xray	116	6	10	100	211	13	34	12	64	64	16	5	0	386	8703	2
tfjs-core	https://github.com/tensorflow/tfjs-core	1538	11	187	1340	941	3	135	22	0	0	0	6	5	323	8548	153
SlackTextViewController	https://github.com/slackhq/SlackTextViewController	265	9	71	185	1062	25	94	26	420	420	71	3	34	241	8537	0
caffe2	https://github.com/facebookarchive/caffe2	1258	0	913	345	1989	56	213	16	1311	1311	580	1	4	553	8474	0
BottomBar	https://github.com/roughike/BottomBar	137	29	41	67	1497	2	34	2	741	741	265	1	4	256	8318	0
browser-laptop	https://github.com/brave/browser-laptop	3664	0	542	3122	990	3338	195	109	11678	11678	298	9	465	429	8199	0
marp	https://github.com/yhatt/marp	51	0	13	38	423	1	15	1	225	225	0	0	10	197	8068	24
nuclide	https://github.com/facebookarchive/nuclide	329	8	308	13	685	41	258	16	1292	1292	387	16	114	307	7989	0
react-router-redux	https://github.com/reactjs/react-router-redux	165	0	50	115	669	7	92	21	472	472	1	1	18	163	7955	0
android-ktx	https://github.com/android/android-ktx	341	35	114	192	591	8	37	33	256	256	52	0	0	377	7554	0
universe	https://github.com/openai/universe	43	0	17	26	841	3	128	110	193	193	0	2	2	460	7132	0
BaiduNetdiskPlugin-macOS	https://github.com/CodeTips/BaiduNetdiskPlugin-macOS	2	0	0	2	1456	0	3	1	75	75	54	3	0	198	7072	0
maybe	https://github.com/p-e-w/maybe	7	1	4	2	163	1	2	1	38	38	17	1	5	131	6470	0
react-router-tutorial	https://github.com/reactjs/react-router-tutorial	187	22	115	50	1793	2	58	18	155	155	51	3	0	179	5483	0
postcss-cssnext	https://github.com/MoOx/postcss-cssnext	110	0	43	67	201	7	51	4	357	357	0	2	40	134	5423	0
fuck-login	https://github.com/xchaoinfo/fuck-login	44	7	13	24	1866	1	16	3	75	75	48	1	0	383	5355	0
why-did-you-update	https://github.com/garbles/why-did-you-update	19	8	6	5	83	1	6	1	32	32	20	1	0	51	5159	0
open_nsfw	https://github.com/yahoo/open_nsfw	23	12	7	4	952	1	16	11	63	63	29	1	0	299	5098	0
PermissionScope	https://github.com/nickoneill/PermissionScope	111	25	18	68	502	11	27	2	137	137	30	3	4	98	4917	0
vue-strap	https://github.com/yuche/vue-strap	187	39	49	99	830	9	61	4	351	351	220	4	15	213	4837	0
sqlbrite	https://github.com/square/sqlbrite	126	0	15	111	441	2	51	144	126	126	5	3	9	234	4714	0
swift-style-guide	https://github.com/github/swift-style-guide	49	0	17	32	391	0	60	39	0	0	0	0	0	268	4621	0
deep-learning-coursera	https://github.com/Kulbear/deep-learning-coursera	25	11	9	5	3434	0	5	1	0	0	0	2	0	353	4491	0
emojione	https://github.com/joypixels/emojione	135	16	45	74	542	7	60	6	527	527	117	8	50	140	4472	3
EhViewer	https://github.com/seven332/EhViewer	73	4	12	57	591	8	23	1	597	597	197	2	97	352	4469	51
vibrant.js	https://github.com/jariz/vibrant.js	14	2	6	6	201	1	7	2	31	31	0	3	1	91	4433	0
augmented-traffic-control	https://github.com/facebookarchive/augmented-traffic-control	166	3	13	150	559	20	28	15	191	191	33	8	0	267	4166	0
extract-text-webpack-plugin	https://github.com/webpack-contrib/extract-text-webpack-plugin	193	0	100	93	476	21	74	33	626	626	0	3	16	101	4070	1
chunkwm	https://github.com/koekeishiya/chunkwm	57	11	18	28	204	20	16	1	583	583	100	4	0	96	4057	6
AndroidWiFiADB	https://github.com/pedrovgs/AndroidWiFiADB	11	0	1	10	433	0	6	1	62	62	23	1	8	128	4026	5
store	https://github.com/ngrx/store	107	9	49	49	317	2	23	10	359	359	1	2	5	215	3986	0
panelkit	https://github.com/louisdh/panelkit	10	3	1	6	154	0	4	1	19	19	7	2	7	92	3861	0
webcomponentsjs	https://github.com/webcomponents/webcomponentsjs	351	0	110	241	472	29	83	22	715	715	0	2	24	190	3803	1
TLYShyNavBar	https://github.com/telly/TLYShyNavBar	56	9	9	38	403	2	30	8	143	143	64	3	6	95	3772	0
TypeScript-Vue-Starter	https://github.com/microsoft/TypeScript-Vue-Starter	30	7	11	12	485	1	1000	14523	50	50	28	4	0	124	3770	14
create-react-app-typescript	https://github.com/wmonk/create-react-app-typescript	160	23	56	81	458	2	472	2	296	296	96	5	1	75	3765	0
glamorous	https://github.com/paypal/glamorous	243	0	36	207	217	6	131	56	184	184	0	2	90	66	3732	0
go-torch	https://github.com/uber-archive/go-torch	51	2	5	44	210	0	17	5690	0	0	0	3	0	2334	3669	0
gometalinter	https://github.com/alecthomas/gometalinter	200	0	44	156	276	12	91	2	397	397	0	4	12	72	3564	0
babel-preset-env	https://github.com/babel/babel-preset-env	239	0	33	206	162	18	56	29	219	219	1	1	33	64	3551	0
duo	https://github.com/duojs/duo	189	2	35	152	124	34	24	4	323	323	102	2	0	104	3517	0
WebDriverAgent	https://github.com/facebookarchive/WebDriverAgent	348	6	269	73	699	30	55	16	785	785	174	6	0	236	3516	1
kwm	https://github.com/koekeishiya/kwm	69	1	12	56	117	29	18	1	552	552	60	6	41	53	3480	0
mention-bot	https://github.com/facebookarchive/mention-bot	149	3	32	114	271	0	87	16	95	95	24	1	0	73	3435	0
wooyun_public	https://github.com/hanc00l/wooyun_public	4	0	1	3	1560	0	3	1	46	46	29	7	0	225	3430	2
react-web	https://github.com/taofed/react-web	79	2	6	71	456	4	21	15	200	200	41	1	4	239	3401	1
ExSwift	https://github.com/pNre/ExSwift	89	12	18	59	316	3	26	1	65	65	25	3	1	148	3385	0
typings	https://github.com/typings/typings	188	1	44	143	278	9	31	15	626	626	80	2	80	109	3367	0
react-tutorial	https://github.com/reactjs/react-tutorial	120	4	63	53	2235	8	57	18	47	47	3	8	0	163	3300	0
VisualStudioUninstaller	https://github.com/microsoft/VisualStudioUninstaller	24	2	0	22	434	1	18	13	86	86	42	2	5	240	3214	0
hands-on-ml-zh	https://github.com/apachecn/hands-on-ml-zh	113	0	9	104	1260	0	36	6	34	34	19	5	0	255	3169	0
JavaScriptServices	https://github.com/aspnet/JavaScriptServices	225	0	124	101	529	52	251	189	1470	1470	0	6	2	290	3165	0
color	https://github.com/fatih/color	55	0	17	38	369	2	25	1	52	52	0	1	11	56	3111	0
friends	https://github.com/moose-team/friends	70	1	9	60	332	18	29	13	105	105	52	3	0	147	3066	0
deepmask	https://github.com/facebookresearch/deepmask	8	2	3	3	510	3	24	376	121	121	46	1	0	209	3049	0
hain	https://github.com/hainproject/hain	102	2	24	76	141	0	36	3	191	191	71	7	23	111	3045	0
frontend-boilerplate	https://github.com/tj/frontend-boilerplate	52	8	16	28	280	3	22	1	43	43	11	3	0	88	3013	0
DraggablePanel	https://github.com/pedrovgs/DraggablePanel	24	6	5	13	613	0	6	1	109	109	51	1	10	140	2972	0
react-chartjs	https://github.com/reactjs/react-chartjs	69	12	21	36	294	6	51	27	159	159	61	1	16	61	2922	0
anthelion	https://github.com/YahooArchive/anthelion	1	0	0	1	709	0	5	2	6	6	4	4	0	331	2907	0
MITMf	https://github.com/byt3bl33d3r/MITMf	40	0	13	27	827	6	18	1	0	0	0	4	10	298	2875	0
hubpress.io	https://github.com/HubPress/hubpress.io	202	4	169	29	2869	10	24	16	347	347	74	6	0	72	2854	2
android-percent-support-lib-sample	https://github.com/JulienGenoud/android-percent-support-lib-sample	2	0	1	1	607	0	1	1	14	14	1	1	2	149	2833	0
tellform	https://github.com/tellform/tellform	105	9	20	76	491	3	32	5	0	0	0	6	1	100	2810	16
structs	https://github.com/fatih/structs	68	0	28	40	349	4	23	1	55	55	0	1	2	56	2803	0
