Repo Name	CART_DE		ROME		CART		RF		SVR		KNN		LP4EE		ATLM	
	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA
goreleaser_monthly	0.29	0.69	0.29	0.71	0.38	0.69	1.21	-0.53	2.65	-1.65	1.26	-0.26	0.97	0.06	0.89	0.09
haven_monthly	0.07	0.93	0.01	0.99	0.09	0.91	0.36	0.67	0.23	0.77	1.18	-0.18	0.24	0.78	0.24	0.77
hospitalrun-frontend_monthly	1.11	-0.24	0.65	0.13	1.08	-0.15	3.28	-1.92	2.98	-1.98	2.08	-1.08	1.56	-0.56	1.57	-0.58
HTextView_monthly	0.08	0.92	0.12	0.92	0.99	-0.24	1.99	-1.01	0.07	0.93	1.33	-0.33	0.47	0.52	0.82	0.18
humhub_monthly	30.88	-29.88	30.88	-29.88	49.99	-41.01	40.99	-32.01	60.01	-59.01	20.67	-19.67	33.92	-32.92	49.75	-48.78
huxpro.github.io_monthly	2.91	-1.93	3.81	-7.77	1.99	-2.01	7.99	-5.67	4.41	-3.41	0.01	0.99	6.78	-5.77	6.89	-5.9
incubator-tvm_monthly	2.36	-1.36	1.86	-1.36	1.43	-0.43	2.09	-1.62	9.83	-8.83	2.09	-1.09	4.03	-2.98	3.22	-2.25
is-thirteen_monthly	0.44	0.56	0.43	0.56	0.59	0.41	0.43	0.57	0.55	0.45	0.49	0.51	0.36	0.62	0.65	0.32
jellyfin_monthly	17.66	-16.66	17.59	-16.61	17.97	-16.97	19.11	-17.25	16.59	-15.59	13.46	-12.46	20.05	-19.03	22.99	-21.98
kanboard_monthly	0.17	0.67	0.43	0.23	0.17	0.83	1.11	0.22	4.87	-3.87	0.56	0.44	1.62	-0.61	1.02	-0.05
kingshard_monthly	0.06	0.94	0.33	0.94	5.33	-0.33	0.17	-0.44	0.11	0.89	0.39	0.61	0.27	0.71	4.24	-3.21
lucida_monthly	0.39	0.61	0.01	0.75	0.01	0.99	1.99	0.83	2.55	-1.55	0.33	0.67	0.7	0.28	0.56	0.46
moon_monthly	0.06	0.53	0.03	0.98	0.67	0.33	0.17	0.67	0.86	0.14	0.22	0.78	0.18	0.8	0.46	0.57
mybatis-generator-gui_monthly	0.26	0.67	0.57	0.43	0.74	-0.41	0.67	0.53	3.62	-2.62	2.33	-1.33	1.35	-0.33	1.37	-0.37
ngx-bootstrap_monthly	0.06	0.33	0.06	0.94	0.67	0.33	0.33	0.33	9.32	-8.32	3.22	-2.22	1.82	-0.84	1.48	-0.45
or-tools_monthly	18.92	-20.92	10.81	-9.81	10.99	-9.99	13.82	-15.01	20.14	-19.14	11.17	-10.17	14.22	-13.23	13.58	-12.58
oss-fuzz_monthly	8.45	-9.51	8.45	-7.45	10.19	-9.21	9.19	-9.21	11.91	-10.91	8.73	-7.73	8.95	-7.94	11.71	-10.71
places_monthly	0.02	0.95	0.05	0.98	0.11	0.89	0.06	0.96	0.15	0.85	0.15	0.85	0.04	0.94	0.11	0.92
pulsar_monthly	0.99	-1.21	0.99	-0.44	0.99	0.01	2.19	-1.44	9.56	-8.56	2.71	-1.71	3.62	-2.6	3.36	-2.33
react-autosuggest_monthly	0.09	0.82	0.34	0.86	0.01	0.99	0.01	0.01	5.02	-4.02	0.99	0.01	1.44	-0.45	1.07	-0.06
react-map-gl_monthly	0.12	0.88	0.12	0.88	0.43	0.57	0.33	0.05	0.46	0.54	0.86	0.14	0.34	0.65	0.59	0.41
react-native-paper_monthly	0.18	0.62	0.18	0.69	1.09	-0.09	0.29	0.69	0.09	0.91	0.23	0.77	0.26	0.76	0.75	0.27
redex_monthly	9.83	-10.92	9.83	-8.83	7.67	-11.01	10.56	-16.67	19.89	-18.89	15.99	-15.01	13.79	-12.79	16.06	-15.07
resilience4j_monthly	0.28	0.64	0.21	0.79	0.67	0.33	0.44	0.67	0.52	0.48	4.56	-3.56	0.41	0.58	0.78	0.21
SCLAlertView-Swift_monthly	0.16	0.59	0.29	0.89	0.99	0.01	0.67	0.67	1.95	-0.95	0.33	0.67	0.44	0.53	1.01	-0.02
sdk_monthly	13.26	-12.26	11.26	-10.26	13.26	-12.26	13.29	-13.65	15.29	-14.29	13.83	-12.83	12.33	-11.3	13.58	-12.6
single-spa_monthly	0.17	0.54	0.01	0.99	0.33	0.67	0.56	0.67	1.39	-0.39	0.89	0.11	0.35	0.64	0.44	0.55
Squirrel.Windows_monthly	0.09	0.91	0.18	0.82	0.67	0.33	0.44	0.78	0.23	0.77	0.33	0.67	0.26	0.76	0.55	0.48
thingsboard_monthly	0.09	0.91	0.13	0.87	1.69	0.44	0.47	0.67	0.22	0.78	0.43	0.57	0.16	0.84	1.42	-0.42
TranslationPlugin_monthly	0.16	0.84	1.43	-0.43	0.76	0.24	1.33	-1.05	0.23	0.77	1.22	-0.22	1.29	-0.29	1.03	-0.05
translations_monthly	0.37	0.45	0.94	0.06	9.99	-9.01	2.67	-3.67	0.69	0.31	0.56	0.44	1.44	-0.45	6.95	-5.97
vue-multiselect_monthly	5.58	-5.46	6.46	-5.46	6.99	-6.01	13.99	-12.01	8.45	-7.45	8.33	-7.33	9.08	-8.07	12.32	-11.3
z3_monthly	9.67	-8.67	5.92	-4.92	6.49	-5.51	6.65	-6.36	22.25	-21.25	11.73	-10.73	9.35	-8.33	12.77	-11.75
																
																
	CART_DE		ROME		CART		RF		SVR		KNN		LP4EE		ATLM	
	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA	MRE	SA
median	0.275	0.645	0.29	0.75	0.925	0.205	1.385	0.01	1.34	-0.34	1.17	-0.17	0.78	0.21	1.395	-0.395
max	30.88	0.99	57.32	0.99	501.99	0.99	322.33	0.99	121.21	0.99	25.17	0.99	87.85	0.99	456.08	0.95
min	0.01	-29.88	0.01	-56.32	0.01	-500.99	0.01	-310.99	0.01	-120.21	0.01	-24.17	0.01	-88.99	0.04	-455.06
