node.name	node.url	node.pullRequests.totalCount	node.openpullRequests.totalCount	node.closedPullRequests.totalCount	node.mergedPullRequests.totalCount	node.forks.totalCount	node.commitComments.totalCount	node.mentionableUsers.totalCount	node.assignableUsers.totalCount	node.issues.totalCount	node.totalIssues.totalIssues	node.openIssues.openIssues	node.languages.totalCount	node.releases.totalCount	node.watchers.totalCount	node.stargazers.totalCount	node.master.history.commits
yarn	https://github.com/yarnpkg/yarn	2142	126	385	1631	2212	59	523	48	5398	5398	1931	5	130	618	37168	47
awesome-selfhosted	https://github.com/awesome-selfhosted/awesome-selfhosted	1379	10	242	1127	2814	11	609	5	481	481	59	4	0	1435	36931	413
materialize	https://github.com/Dogfalo/materialize	1397	180	770	447	4698	152	264	2	5052	5052	529	3	41	1133	36668	0
Front-End-Checklist	https://github.com/thedaviddias/Front-End-Checklist	232	8	91	133	2871	7	91	7	101	101	10	3	1	1084	36642	6
freecodecamp.cn	https://github.com/FreeCodeCampChina/freecodecamp.cn	67	7	5	55	1394	35	316	4	575	575	135	3	0	793	36607	0
hacker-scripts	https://github.com/NARKOZ/hacker-scripts	126	31	40	55	5866	19	44	1	54	54	30	16	0	2193	36426	1
awesome-android-ui	https://github.com/wasabeef/awesome-android-ui	178	35	91	52	8816	15	43	2	0	0	0	0	0	2989	36347	0
tech-interview-handbook	https://github.com/yangshun/tech-interview-handbook	125	0	23	102	4624	3	74	2	21	21	7	4	0	1432	36302	69
awesome-public-datasets	https://github.com/awesomedata/awesome-public-datasets	310	54	69	187	5640	4	156	3	84	84	43	0	0	2131	35948	9
nodebestpractices	https://github.com/goldbergyoni/nodebestpractices	426	6	57	363	2869	5	110	6	159	159	20	3	0	1098	35147	504
TensorFlow-Examples	https://github.com/aymericdamien/TensorFlow-Examples	134	46	17	71	12739	7	56	1	196	196	140	2	0	2079	35044	8
babel	https://github.com/babel/babel	3891	157	781	2953	3733	705	796	64	6675	6675	619	5	180	880	34850	266
DeepLearning-500-questions	https://github.com/scutan90/DeepLearning-500-questions	306	0	20	286	9831	6	93	1	135	135	62	0	0	2037	34742	101
architecture-samples	https://github.com/android/architecture-samples	299	29	104	166	9298	43	55	34	366	366	103	2	0	2556	34626	81
x64dbg	https://github.com/x64dbg/x64dbg	515	10	85	420	1093	202	73	8	1703	1703	346	7	2	3156	34392	0
guava	https://github.com/google/guava	551	67	358	126	7591	250	213	21	3034	3034	602	3	27	2466	34391	175
prettier	https://github.com/prettier/prettier	3018	96	333	2589	1906	78	459	44	3675	3675	609	6	59	398	34105	284
awesome-react	https://github.com/enaqx/awesome-react	965	46	248	671	3737	11	534	5	59	59	3	0	0	1383	33976	82
neovim	https://github.com/neovim/neovim	6269	179	2213	3877	2404	684	482	19	5018	5018	709	17	19	992	33729	1689
parcel	https://github.com/parcel-bundler/parcel	1238	61	321	856	1498	38	221	20	2462	2462	778	11	0	481	33582	24
big-list-of-naughty-strings	https://github.com/minimaxir/big-list-of-naughty-strings	130	31	28	71	1377	10	56	1	70	70	46	3	0	789	33452	0
awesome-ios	https://github.com/vsouza/awesome-ios	2436	0	383	2053	5396	143	793	8	427	427	0	1	0	1797	33311	153
pytorch	https://github.com/pytorch/pytorch	17805	1027	12864	3914	7957	244	977	288	11010	11010	3475	23	23	1361	33177	4235
advanced-java	https://github.com/doocs/advanced-java	46	0	13	33	8640	7	76	187	70	70	10	1	0	1754	33058	99
realworld	https://github.com/gothinkster/realworld	137	9	13	115	2360	1	36	7	287	287	166	2	0	1079	33004	5
awesome-nodejs	https://github.com/sindresorhus/awesome-nodejs	899	12	553	334	3797	8	321	6	87	87	0	0	0	1579	32958	25
awesome-mac	https://github.com/jaywcjlove/awesome-mac	450	0	25	425	3554	12	285	4	241	241	39	2	0	1278	32925	94
anime	https://github.com/juliangarnier/anime	122	14	46	62	2429	6	44	1	491	491	99	1	12	705	32895	43
serverless	https://github.com/serverless/serverless	2966	11	547	2408	3534	55	677	66	3912	3912	617	19	127	1002	32557	1813
git-flight-rules	https://github.com/k88hudson/git-flight-rules	236	1	39	196	2280	1	109	6	52	52	7	0	0	669	32481	17
nocode	https://github.com/kelseyhightower/nocode	447	393	53	1	2766	51	1	1	2868	2868	2538	1	1	292	32457	0
gin	https://github.com/gin-gonic/gin	858	46	261	551	3705	64	243	5	1255	1255	176	2	8	1172	32403	60
Alamofire	https://github.com/Alamofire/Alamofire	781	6	388	387	5665	54	197	3	2206	2206	19	3	71	1090	32217	48
gogs	https://github.com/gogs/gogs	1358	3	437	918	3654	200	423	1	4415	4415	641	8	56	1093	32080	56
