dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-06-01,26,0,1,0,0,0,0,0,0,0,0,0,0,3
2016-07-01,7,0,1,0,0,0,0,0,0,0,0,0,0,4
2016-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-01,5,0,1,0,0,0,0,0,0,0,0,0,0,2
2016-11-01,13,0,2,0,0,0,0,0,0,0,0,0,0,1
2016-12-01,6,0,1,0,0,0,0,0,0,0,0,0,0,0
2017-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2017-02-01,6,0,2,0,0,0,0,0,0,0,0,0,0,0
2017-03-01,13,0,3,0,0,0,0,0,0,0,0,0,0,2
2017-04-01,115,0,7,3,3,0,0,6,1,25,74,514,30,0
2017-05-01,53,0,10,1,1,0,0,0,1,27,91,137,11,1
2017-06-01,62,0,5,0,0,0,0,0,0,31,113,103,8,0
2017-07-01,56,0,15,1,1,0,0,2,0,23,51,50,9,1
2017-08-01,178,0,17,0,0,0,0,0,0,15,42,62,13,0
2017-09-01,73,0,12,2,2,0,0,0,0,17,39,38,12,2
2017-10-01,120,0,12,1,1,0,0,6,0,20,94,65,16,0
2017-11-01,33,0,11,0,0,0,0,0,0,16,71,47,10,0
2017-12-01,43,0,9,3,0,0,0,1,0,8,26,60,8,0
2018-01-01,252,0,19,1,4,0,0,5,0,17,49,73,12,2
2018-02-01,140,0,17,0,0,0,0,0,0,5,13,58,11,2
2018-03-01,245,0,17,0,0,0,0,0,1,38,162,60,15,0
2018-04-01,189,0,12,0,0,0,0,0,0,10,24,37,11,1
2018-05-01,171,0,15,1,1,0,0,0,0,33,152,87,18,0
2018-06-01,129,0,19,0,0,0,0,0,3,43,184,136,12,0
2018-07-01,178,0,22,1,1,0,0,2,0,24,76,67,16,0
2018-08-01,512,0,30,0,0,0,0,0,2,29,122,83,14,1
2018-09-01,281,0,23,1,1,0,0,6,3,15,74,93,10,0
2018-10-01,274,0,18,34,2,16,5,112,2,47,149,86,15,0
2018-11-01,191,0,24,87,10,78,22,576,7,146,527,105,29,1
2018-12-01,96,0,18,50,3,38,13,331,1,71,279,88,14,0
2019-01-01,151,0,21,67,8,63,19,430,3,132,425,117,12,0
2019-02-01,167,0,30,84,2,74,29,408,8,128,340,81,22,2
2019-03-01,128,0,26,53,7,44,20,317,7,122,411,82,20,1
2019-04-01,144,0,24,69,5,61,18,235,6,112,232,82,19,1
2019-05-01,282,0,32,96,23,93,22,484,8,237,601,66,24,0
2019-06-01,219,0,26,78,6,70,18,291,13,140,316,68,18,0
2019-07-01,169,0,20,53,5,45,16,148,22,124,263,107,19,2
2019-08-01,170,0,21,73,6,61,15,166,21,139,303,67,20,2
2019-09-01,211,0,28,111,14,92,23,348,19,146,333,68,16,0
2019-10-01,198,0,30,124,9,103,22,619,35,185,584,72,23,1
2019-11-01,146,0,21,69,3,63,19,391,28,117,409,73,18,0
2019-12-01,123,0,15,75,7,55,12,248,41,85,274,47,14,2
2020-01-01,1,0,1,0,0,1,1,1,0,2,6,5,0,0
