dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2012-12-01,175,0,2,0,0,0,0,0,0,0,0,0,0,7
2013-01-01,491,0,3,3,1,2,1,0,0,3,0,0,0,2
2013-02-01,503,0,3,0,0,0,0,0,0,0,0,0,0,2
2013-03-01,174,0,4,0,0,0,0,0,0,0,0,0,0,9
2013-04-01,292,0,5,0,0,0,0,0,0,0,0,0,0,4
2013-05-01,414,0,5,0,0,0,0,0,0,0,0,0,0,6
2013-06-01,218,0,5,0,0,0,0,0,1,2,13,0,0,1
2013-07-01,274,0,6,0,0,0,0,0,4,4,13,0,0,6
2013-08-01,192,0,7,0,0,0,0,0,2,3,3,0,0,1
2013-09-01,199,0,15,8,3,4,2,50,1,12,56,414,26,3
2013-10-01,275,0,9,3,2,1,1,12,8,7,24,65,15,0
2013-11-01,154,0,16,2,3,0,0,14,14,9,57,47,8,4
2013-12-01,366,0,15,1,1,0,0,10,4,28,66,32,5,4
2014-01-01,337,0,16,0,0,0,0,0,16,21,128,47,7,5
2014-02-01,328,0,16,0,0,0,0,0,13,13,75,27,7,3
2014-03-01,227,0,17,1,0,1,1,0,6,14,49,39,15,3
2014-04-01,296,0,19,0,0,0,0,0,10,20,94,53,6,3
2014-05-01,286,0,21,1,0,0,0,2,13,25,75,42,9,2
2014-06-01,324,0,22,2,2,1,1,18,6,16,73,31,11,2
2014-07-01,432,0,24,0,0,0,0,0,26,50,249,38,8,2
2014-08-01,327,0,22,0,0,0,0,0,19,29,146,25,10,2
2014-09-01,261,0,20,1,1,0,0,4,7,28,126,26,5,3
2014-10-01,136,0,20,1,0,1,1,2,13,19,94,76,15,9
2014-11-01,87,0,13,1,1,0,0,2,5,9,24,82,12,2
2014-12-01,30,0,8,1,1,0,0,10,1,5,17,49,11,5
2015-01-01,22,0,7,1,1,0,0,6,3,7,33,53,5,1
2015-02-01,41,0,7,0,0,0,0,0,8,6,23,38,8,1
2015-03-01,45,0,9,1,0,0,0,1,3,6,19,43,14,8
2015-04-01,41,0,5,0,0,1,1,1,3,18,52,217,20,3
2015-05-01,15,0,6,2,0,1,1,6,4,6,22,62,13,1
2015-06-01,20,0,6,2,2,0,0,6,0,4,16,28,7,1
2015-07-01,16,0,5,2,0,1,1,13,2,3,27,37,7,3
