dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2013-02-01,21,0,1,0,0,0,0,0,0,0,0,7,0,0
2013-03-01,9,0,1,0,0,0,0,0,0,0,0,1,0,2
2013-04-01,0,0,0,0,0,0,0,0,0,0,0,3,0,1
2013-05-01,30,0,1,1,1,0,0,8,0,12,21,21,2,1
2013-06-01,93,11,1,0,0,0,0,0,0,7,19,402,7,0
2013-07-01,24,0,2,2,0,2,1,4,0,7,40,29,1,0
2013-08-01,9,1,1,2,0,0,0,16,0,8,45,70,0,1
2013-09-01,3,0,1,0,0,0,0,0,0,5,21,22,0,2
2013-10-01,16,0,1,0,0,0,0,0,0,5,6,37,1,0
2013-11-01,26,0,2,1,1,1,1,12,0,8,59,85,3,0
2013-12-01,13,0,2,1,1,1,1,18,0,8,49,120,8,0
2014-01-01,5,0,2,1,0,1,1,2,0,6,21,113,3,0
2014-02-01,0,0,0,0,0,0,0,0,0,1,1,102,1,0
2014-03-01,0,0,0,0,0,0,0,0,0,3,12,29,2,0
2014-04-01,2,0,2,1,0,0,0,2,0,2,6,29,1,1
2014-05-01,0,0,0,0,0,0,0,0,0,0,0,42,3,1
2014-06-01,3,0,2,0,0,0,0,0,0,1,11,24,1,0
2014-07-01,0,0,0,0,0,0,0,0,0,1,4,34,0,0
2014-08-01,0,0,0,0,0,0,0,0,0,2,5,29,2,0
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,104,1,0
2014-10-01,20,2,1,2,1,1,1,11,0,11,25,44,3,0
2014-11-01,3,0,1,0,0,0,0,0,0,3,35,71,3,0
2014-12-01,0,0,0,1,0,0,0,5,0,1,1,28,2,0
2015-01-01,0,0,0,0,0,0,0,0,0,2,5,31,0,0
2015-02-01,5,0,1,1,0,1,1,0,0,5,52,41,2,0
2015-03-01,0,0,0,0,0,0,0,0,0,0,0,39,2,0
2015-04-01,0,0,0,0,0,0,0,0,0,1,3,20,2,0
2015-05-01,0,0,0,0,0,0,0,0,0,1,4,22,1,0
2015-06-01,0,0,0,0,0,0,0,0,0,0,0,24,2,0
2015-07-01,0,0,0,0,0,0,0,0,0,2,3,23,0,0
2015-08-01,0,0,0,0,0,0,0,0,0,1,2,24,1,0
2015-09-01,0,0,0,1,0,0,0,4,0,1,2,30,2,0
2015-10-01,0,0,0,0,0,0,0,0,0,1,13,19,1,0
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,35,2,0
2015-12-01,0,0,0,0,0,0,0,0,0,2,8,19,1,0
2016-01-01,0,0,0,0,0,0,0,0,0,0,0,25,4,0
2016-02-01,16,0,5,0,3,0,0,14,0,8,57,37,2,0
2016-03-01,0,0,0,0,0,0,0,0,0,0,0,33,1,0
2016-04-01,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2016-05-01,0,0,0,0,0,0,0,0,0,0,0,46,0,0
2016-06-01,0,0,0,0,0,0,0,0,0,1,3,50,1,0
2016-07-01,0,0,0,0,0,0,0,0,0,2,13,29,0,0
2016-08-01,0,0,0,0,0,0,0,0,0,1,2,40,1,0
2016-09-01,0,0,0,0,0,0,0,0,0,0,0,20,1,0
2016-10-01,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2016-11-01,1,0,1,0,0,0,0,0,0,0,0,23,0,0
2016-12-01,0,0,0,0,0,0,0,0,0,1,0,24,0,0
2017-01-01,0,0,0,2,1,0,0,2,0,5,14,26,1,0
2017-02-01,5,0,2,1,1,0,0,3,0,4,10,18,3,0
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,29,1,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,13,1,0
2017-05-01,0,0,0,1,0,0,0,1,0,2,12,36,3,0
2017-06-01,5,0,3,1,3,0,0,4,0,8,42,28,0,0
2017-07-01,0,0,0,0,0,0,0,0,0,0,0,73,1,0
2017-08-01,1,0,1,0,0,0,0,0,0,0,0,21,1,0
2017-09-01,0,0,0,0,0,0,0,0,2,1,5,19,1,0
2017-10-01,0,0,0,2,0,0,0,11,0,0,0,21,2,0
2017-11-01,9,0,5,3,3,2,1,21,0,7,28,15,3,0
2017-12-01,0,0,0,0,0,0,0,0,0,1,7,20,1,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0,11,0,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,14,1,0
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,28,0,0
2018-04-01,0,0,0,1,0,0,0,1,0,0,0,35,1,0
2018-05-01,8,0,1,0,1,0,0,1,1,8,32,39,3,0
2018-06-01,3,2,1,1,1,0,0,32,0,3,20,14,1,0
2018-07-01,0,0,0,0,0,0,0,0,0,1,1,22,0,0
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,18,0,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,22,1,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,19,0,0
2018-11-01,2,0,1,0,0,0,0,0,0,0,0,25,2,0
2018-12-01,8,0,1,0,0,0,0,0,0,7,25,25,1,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,21,0,0
2019-02-01,3,0,1,0,0,0,0,0,0,1,1,24,1,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,24,2,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,19,1,0
2019-05-01,0,0,0,0,0,0,0,0,0,0,0,12,0,0
2019-06-01,2,0,1,2,0,0,0,0,0,1,2,18,0,0
2019-07-01,6,0,1,1,1,0,0,2,0,2,4,13,0,0
2019-08-01,2,0,1,0,0,0,0,0,0,0,0,17,0,0
2019-09-01,7,4,1,0,2,0,0,0,0,7,18,34,0,0
2019-10-01,0,0,0,0,0,0,0,0,0,0,0,23,1,0
2019-11-01,3,0,1,0,0,0,0,0,1,1,5,33,1,0
