dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2013-09-01,20,0,5,9,0,8,3,19,0,9,10,9,1,3
2013-10-01,311,29,7,66,2,65,5,247,0,78,139,7,3,3
2013-11-01,501,67,10,123,8,113,6,458,5,188,356,861,64,6
2013-12-01,533,43,12,127,8,119,7,425,8,187,342,93,24,0
2014-01-01,836,30,9,204,15,185,7,828,28,330,674,68,5,3
2014-02-01,620,2,10,137,11,127,7,481,27,211,384,54,11,1
2014-03-01,454,1,9,138,8,131,7,538,33,245,520,37,9,4
2014-04-01,513,0,10,138,9,127,8,611,27,233,479,31,9,3
2014-05-01,958,0,9,232,2,228,7,706,66,384,775,43,7,7
2014-06-01,1006,16,11,267,13,258,6,1150,83,531,1246,214,15,1
2014-07-01,308,4,14,91,4,88,9,333,62,202,578,235,27,2
2014-08-01,390,8,12,95,7,88,10,421,93,177,595,99,6,3
2014-09-01,385,2,13,91,0,91,8,286,39,136,325,77,11,3
2014-10-01,337,1,10,81,3,78,7,236,47,176,457,55,9,1
2014-11-01,220,1,8,56,1,53,6,148,34,95,263,60,9,3
2014-12-01,50,2,3,16,1,17,2,50,21,70,229,49,6,3
2015-01-01,6,0,2,4,1,1,1,8,12,6,35,53,7,4
2015-02-01,1,0,1,0,1,0,0,2,20,7,44,43,4,1
2015-03-01,29,0,1,5,0,5,1,2,18,6,29,37,5,2
2015-04-01,0,0,0,0,0,0,0,0,14,0,6,42,6,2
2015-05-01,0,0,0,0,0,0,0,0,18,1,25,66,12,4
2015-06-01,0,0,0,0,0,0,0,0,9,1,13,33,9,1
2015-07-01,0,0,0,0,0,0,0,0,9,1,3,35,7,0
2015-08-01,10,0,3,3,0,3,2,12,11,9,49,41,9,2
2015-09-01,5,0,2,4,1,2,1,6,11,6,32,39,7,2
2015-10-01,0,0,0,0,0,0,0,0,7,0,2,43,7,1
2015-11-01,3,1,2,2,0,0,0,12,10,0,4,36,7,0
2015-12-01,2,0,2,1,0,1,1,5,6,7,8,42,12,1
2016-01-01,6,0,3,3,2,4,2,35,5,11,38,31,4,1
2016-02-01,12,0,3,2,0,2,2,4,6,5,6,16,4,0
2016-03-01,2,0,2,1,0,1,1,0,8,1,6,18,5,2
2016-04-01,2,0,1,1,0,0,0,0,3,1,0,20,2,1
2016-05-01,1,1,1,1,2,1,1,14,17,16,83,359,123,19
