dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2013-10-01,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2013-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013-12-01,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2014-01-01,51,0,3,0,0,0,0,0,0,2,0,0,0,1
2014-02-01,14,0,1,0,0,0,0,0,0,6,9,1,0,2
2014-03-01,8,0,2,2,1,1,1,2,0,6,5,0,0,1
2014-04-01,2,0,1,1,1,0,0,2,0,3,3,0,0,2
2014-05-01,3,0,1,0,0,0,0,0,1,7,22,2,0,1
2014-06-01,46,0,1,1,0,1,1,0,0,4,3,1,0,0
2014-07-01,5,0,1,0,0,0,0,0,0,2,2,3,0,1
2014-08-01,6,0,1,0,0,0,0,0,0,1,0,0,1,2
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-10-01,3,0,1,0,0,0,0,0,0,1,0,0,0,2
2014-11-01,98,0,1,2,0,2,1,0,1,14,20,4,1,3
2014-12-01,37,0,1,1,0,1,1,0,0,5,12,60,2,0
2015-01-01,21,0,1,2,0,1,1,3,0,5,10,121,11,1
2015-02-01,7,0,1,0,0,0,0,0,0,0,0,10,3,1
2015-03-01,3,0,1,0,0,0,0,0,0,0,0,14,4,1
2015-04-01,3,0,1,0,0,0,0,0,0,1,3,12,2,0
2015-05-01,23,0,1,6,2,3,1,20,0,8,19,14,2,2
2015-06-01,10,2,1,0,0,1,1,0,0,9,26,18,3,0
2015-07-01,3,0,1,0,0,0,0,0,0,3,18,16,0,1
2015-08-01,1,0,1,1,0,0,0,2,1,1,26,25,2,2
2015-09-01,21,1,2,4,1,3,1,46,1,5,46,16,3,0
2015-10-01,16,0,5,3,2,3,1,21,0,9,25,22,3,1
2015-11-01,37,2,1,2,1,1,1,10,1,15,29,26,1,2
2015-12-01,11,0,1,0,0,0,0,0,0,2,6,13,0,2
2016-01-01,19,0,2,1,1,0,0,0,3,5,14,12,2,0
2016-02-01,44,0,1,1,0,1,1,0,2,10,32,8,2,0
2016-03-01,16,0,2,1,0,1,1,4,1,5,16,14,6,1
2016-04-01,19,0,2,2,0,2,1,2,1,14,68,20,3,1
2016-05-01,14,0,2,2,0,2,1,4,4,11,31,34,3,1
2016-06-01,4,0,2,1,0,1,1,4,0,4,8,27,5,0
2016-07-01,16,0,3,2,0,2,1,16,1,8,34,14,3,0
2016-08-01,21,0,1,1,0,1,1,2,2,15,34,26,6,2
2016-09-01,30,0,5,8,0,5,1,38,5,15,55,428,31,1
2016-10-01,29,1,5,13,5,4,1,33,4,13,32,72,11,1
2016-11-01,0,0,0,1,0,0,0,0,1,4,45,36,5,0
2016-12-01,45,0,3,4,1,4,1,16,2,18,58,42,4,0
2017-01-01,16,0,2,3,2,1,1,14,0,11,39,35,11,0
2017-02-01,27,0,2,4,0,3,1,12,5,11,33,46,8,3
2017-03-01,25,0,3,4,1,3,1,20,3,10,45,64,12,0
2017-04-01,17,0,1,4,4,3,1,12,3,14,24,50,7,1
2017-05-01,16,0,1,3,0,2,1,30,4,14,140,38,9,2
2017-06-01,0,0,0,2,0,0,0,7,4,1,12,34,4,2
2017-07-01,0,0,0,0,0,0,0,0,2,6,26,28,4,1
2017-08-01,1,0,1,0,0,0,0,0,1,1,2,40,6,0
2017-09-01,0,0,0,2,1,0,0,2,3,3,9,29,11,0
2017-10-01,16,0,3,13,3,3,1,31,3,10,26,73,9,2
2017-11-01,0,0,0,1,0,0,0,3,1,0,3,43,9,0
2017-12-01,9,0,4,6,0,2,1,5,8,6,54,28,7,0
2018-01-01,5,0,1,0,0,2,1,2,2,3,23,43,3,0
2018-02-01,13,0,4,4,0,3,1,9,5,8,33,97,10,0
2018-03-01,9,0,2,3,1,4,2,14,3,16,59,67,14,1
2018-04-01,1,0,1,2,1,1,1,4,7,8,39,77,14,0
2018-05-01,1,0,1,18,7,0,0,15,58,41,168,1096,254,3
