dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_stargazer,monthly_forks,monthly_watchers
2012-02-01,234,0,1,0,0,0,0,0,0,0,0,115,0,36
2012-03-01,115,0,1,0,6,0,0,0,0,0,0,1,1,37
2012-04-01,6,0,1,0,3,5,0,0,0,0,0,1,0,41
2012-05-01,198,5,1,0,19,23,0,0,0,0,0,3,0,31
2012-06-01,50,2,3,0,17,23,2,1,1,1,12,2,3,33
2012-07-01,19,2,2,0,4,17,1,0,0,0,2,1,2,39
2012-08-01,10,0,2,0,3,3,1,0,1,1,4,2,8,31
2012-09-01,69,0,2,0,41,98,3,3,1,1,20,1,3,33
2012-10-01,11,0,1,0,3,4,0,0,0,0,0,1,4,44
2012-11-01,54,0,5,0,12,16,2,1,1,1,8,1,5,35
2012-12-01,28,0,3,0,10,20,2,2,0,0,20,0,2,33
2013-01-01,8,0,2,0,4,11,2,2,0,0,12,0,3,51
2013-02-01,35,0,1,0,10,30,0,0,0,0,0,12,3,51
2013-03-01,53,5,2,0,13,63,1,1,0,0,0,11,2,45
2013-04-01,22,0,2,0,7,25,0,0,0,0,0,21,4,34
2013-05-01,13,0,3,0,7,24,0,0,0,0,0,8,2,45
2013-06-01,28,0,5,0,6,30,2,1,0,0,11,13,3,39
2013-07-01,23,0,2,0,2,3,1,0,0,0,4,11,6,32
2013-08-01,118,9,5,0,10,29,1,2,0,0,8,20,4,32
2013-09-01,30,1,1,0,5,27,0,0,0,0,0,10,3,33
2013-10-01,9,0,1,0,4,8,0,0,0,0,0,23,1,35
2013-11-01,14,0,1,0,1,3,0,0,0,0,0,14,1,34
2013-12-01,19,0,5,0,18,50,1,2,0,0,9,16,6,32
2014-01-01,4,0,2,0,1,1,1,0,1,1,2,15,4,25
2014-02-01,7,0,1,0,13,60,2,0,0,0,6,18,6,39
2014-03-01,15,0,2,0,9,30,1,1,2,1,8,18,6,39
2014-04-01,2,0,2,0,1,4,1,0,0,0,3,14,4,42
2014-05-01,9,0,2,0,5,14,1,1,1,1,5,13,2,22
2014-06-01,1,0,1,0,1,4,2,0,0,0,10,11,4,36
2014-07-01,3,0,1,0,7,23,0,0,1,1,1,13,1,34
2014-08-01,1,0,1,0,15,33,0,0,0,0,0,18,3,28
2014-09-01,3,0,2,0,3,13,0,0,0,0,0,13,6,43
2014-10-01,5,0,2,0,4,9,0,0,0,0,0,19,1,45
2014-11-01,1,0,1,0,3,7,0,0,0,0,0,20,4,30
2014-12-01,3,0,2,0,0,0,1,0,0,0,3,15,4,30
2015-01-01,1,0,1,0,0,0,1,0,0,0,1,10,3,32
2015-02-01,7,1,4,0,1,2,3,0,0,0,3,13,6,32
2015-03-01,14,0,4,0,13,22,1,0,6,2,7,17,6,36
2015-04-01,8,0,4,0,3,7,3,1,1,1,9,19,9,29
2015-05-01,4,0,2,0,3,11,2,0,2,1,15,16,6,33
2015-06-01,0,0,0,0,12,20,0,0,0,0,0,16,6,28
2015-07-01,2,0,2,0,2,1,2,0,1,1,4,14,6,20
2015-08-01,5,0,3,0,5,14,3,0,2,1,27,17,6,32
2015-09-01,3,0,2,0,5,8,4,3,1,1,16,28,9,33
2015-10-01,6,0,3,0,5,14,4,1,3,1,24,16,8,34
2015-11-01,9,0,5,0,6,13,6,0,4,1,23,19,8,33
2015-12-01,6,0,4,0,3,5,3,0,2,1,9,24,8,35
2016-01-01,12,0,4,0,11,24,8,3,2,1,57,28,16,28
2016-02-01,2,0,2,0,2,4,3,0,1,1,10,26,9,16
2016-03-01,0,0,0,0,0,0,1,0,0,0,2,22,5,30
2016-04-01,2,0,2,0,7,25,2,0,1,1,8,17,9,32
2016-05-01,1,0,1,0,0,0,2,0,0,0,11,18,8,31
2016-06-01,11,0,4,0,6,18,3,0,3,1,14,17,5,17
2016-07-01,10,0,6,3,10,43,10,1,6,2,60,34,13,25
2016-08-01,15,0,5,0,9,45,6,1,4,1,43,27,12,23
2016-09-01,16,0,5,0,7,5,13,2,5,1,18,36,12,28
2016-10-01,15,0,5,0,13,27,9,0,6,2,14,50,13,24
2016-11-01,7,0,5,0,5,10,7,0,2,2,20,58,13,12
2016-12-01,6,0,4,1,7,32,5,0,3,1,17,27,17,19
2017-01-01,7,0,6,2,10,26,4,4,5,2,20,38,9,14
2017-02-01,5,0,3,0,5,2,12,3,2,2,71,54,15,25
2017-03-01,9,0,4,1,5,16,3,1,2,2,18,31,16,18
2017-04-01,3,0,2,0,5,9,4,0,0,0,12,40,14,18
2017-05-01,0,0,0,1,1,2,6,1,0,0,14,44,18,10
2017-06-01,0,0,0,0,0,0,1,0,0,0,3,29,14,10
2017-07-01,6,0,1,1,3,17,7,0,2,1,38,34,15,11
2017-08-01,1,0,1,0,1,0,5,1,0,0,5,31,12,18
2017-09-01,0,0,0,0,2,3,9,1,0,0,25,44,14,10
2017-10-01,2,0,1,0,4,3,7,3,0,0,11,42,15,18
2017-11-01,9,0,8,0,18,50,3,0,9,3,94,32,12,17
2017-12-01,7,0,5,0,14,22,11,1,7,1,30,45,11,13
2018-01-01,10,0,8,0,13,15,6,0,9,1,19,71,8,12
2018-02-01,12,0,8,0,25,59,11,6,9,2,53,48,20,11
2018-03-01,42,0,18,3,61,247,13,16,18,1,165,61,21,18
2018-04-01,32,0,11,0,101,291,22,9,22,1,215,48,22,8
2018-05-01,8,0,4,0,18,50,18,2,5,1,91,48,24,11
2018-06-01,9,2,8,2,29,152,6,6,8,1,75,60,22,6
2018-07-01,12,0,7,1,38,209,9,10,9,1,126,40,11,15
2018-08-01,29,0,6,2,47,218,20,8,16,2,229,56,22,10
2018-09-01,14,4,7,0,55,266,11,14,5,1,154,68,12,14
2018-10-01,22,0,15,2,38,115,27,4,20,1,129,100,31,15
2018-11-01,4,0,3,0,18,52,9,1,4,1,36,65,13,5
2018-12-01,5,0,4,1,21,52,14,3,4,1,80,47,18,7
2019-01-01,5,0,5,1,19,61,16,3,4,1,84,68,25,8
2019-02-01,5,0,5,0,25,41,8,6,5,1,48,65,23,7
2019-03-01,5,0,5,2,14,38,9,8,5,1,42,73,27,7
2019-04-01,8,0,5,1,32,144,9,13,5,1,143,95,30,6
2019-05-01,6,0,5,2,21,68,6,1,4,1,34,55,28,3
2019-06-01,9,0,7,1,32,91,12,4,9,2,76,66,24,3
2019-07-01,11,0,6,0,31,80,17,7,10,2,87,67,26,4
2019-08-01,10,0,3,2,40,125,9,5,10,1,51,60,17,2
2019-09-01,10,0,6,3,26,104,11,4,8,2,76,97,23,3
2019-10-01,16,0,5,7,44,155,23,8,15,2,170,74,17,0
2019-11-01,12,0,5,9,32,129,14,4,11,1,129,80,20,1
2019-12-01,8,0,3,7,12,46,3,0,3,2,33,42,6,0
