dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-02-01,96,0,3,0,0,0,0,0,0,7,8,15,0,2
2014-03-01,132,0,3,0,0,0,0,0,0,25,9,2,0,4
2014-04-01,107,0,3,0,0,0,0,0,0,37,21,5,0,2
2014-05-01,128,0,3,0,0,0,0,0,0,6,3,1,2,3
2014-06-01,28,0,3,0,0,0,0,0,0,3,6,3,0,2
2014-07-01,122,0,3,0,0,0,0,0,0,11,37,4,3,2
2014-08-01,66,0,2,0,0,0,0,0,0,19,11,36,2,3
2014-09-01,179,0,4,1,0,1,1,2,0,45,33,25,4,1
2014-10-01,294,0,4,2,0,2,1,8,0,60,56,26,4,3
2014-11-01,80,0,4,1,0,1,1,2,0,26,38,501,27,3
2014-12-01,92,0,7,16,7,9,2,56,0,42,81,920,44,3
2015-01-01,102,0,3,5,3,2,1,16,0,48,97,71,11,3
2015-02-01,65,0,6,2,0,2,1,8,0,14,29,44,11,2
2015-03-01,115,0,7,5,1,4,2,20,1,31,101,43,8,4
2015-04-01,43,0,7,6,1,5,3,38,0,21,70,299,16,0
2015-05-01,88,0,4,4,1,3,1,14,0,42,167,94,13,1
2015-06-01,22,0,7,6,0,5,3,13,0,13,35,49,14,0
2015-07-01,66,0,5,3,1,2,2,14,0,26,99,33,9,1
2015-08-01,170,0,5,5,0,4,3,34,1,20,117,33,7,0
2015-09-01,65,0,4,2,0,2,1,25,0,17,93,47,10,3
2015-10-01,88,0,7,17,6,12,3,75,1,50,216,47,9,1
2015-11-01,187,0,9,28,4,24,7,180,2,75,397,51,6,2
2015-12-01,122,0,6,24,5,17,2,139,2,45,231,81,13,3
2016-01-01,90,0,6,23,2,22,2,128,2,62,244,89,13,2
2016-02-01,32,0,7,13,1,12,2,48,0,34,119,50,5,3
2016-03-01,111,0,8,23,4,21,3,174,3,51,210,56,14,1
2016-04-01,77,0,10,22,6,12,3,110,2,40,175,54,7,1
2016-05-01,93,0,6,29,6,25,2,206,2,88,439,46,9,1
2016-06-01,69,0,6,16,1,8,3,65,1,23,140,54,7,2
2016-07-01,140,0,7,23,9,21,2,194,0,50,269,48,13,1
2016-08-01,22,0,5,16,4,3,2,55,0,11,29,47,8,1
2016-09-01,20,0,4,14,2,8,2,68,1,20,115,54,5,0
2016-10-01,24,0,9,20,15,6,3,81,0,43,151,65,12,1
2016-11-01,53,0,8,14,7,19,3,161,3,33,152,44,9,0
2016-12-01,10,0,3,5,1,1,1,16,3,6,56,53,9,0
2017-01-01,15,0,3,13,2,6,2,71,0,14,36,55,15,2
2017-02-01,8,0,5,14,2,2,2,53,0,10,26,94,14,1
2017-03-01,12,0,5,23,0,5,1,92,0,11,45,75,14,1
2017-04-01,55,0,9,22,24,16,2,163,0,46,141,55,16,1
2017-05-01,80,0,8,29,10,34,4,136,1,55,170,45,14,0
2017-06-01,39,0,6,11,2,8,2,115,0,16,96,84,12,1
2017-07-01,27,0,5,5,0,5,1,27,0,11,45,46,8,0
2017-08-01,22,0,4,4,1,5,1,63,0,33,199,69,12,0
2017-09-01,10,0,7,5,0,2,2,16,0,6,17,45,9,0
2017-10-01,12,0,5,4,1,5,3,23,0,7,18,70,11,0
2017-11-01,10,0,4,3,0,3,1,20,0,5,16,52,4,1
2017-12-01,99,0,6,9,0,6,1,136,1,10,74,47,15,0
2018-01-01,38,0,3,3,0,6,1,39,1,9,64,62,9,1
2018-02-01,45,0,9,11,0,12,3,54,1,23,106,43,10,0
2018-03-01,44,0,9,17,3,13,3,53,2,31,113,57,9,2
2018-04-01,79,0,3,4,0,5,2,16,0,16,64,54,8,0
2018-05-01,46,0,9,8,1,6,3,44,0,17,51,46,8,0
2018-06-01,20,0,5,3,4,4,2,31,2,149,724,55,14,0
2018-07-01,6,0,3,2,0,2,1,4,1,7,35,69,11,0
2018-08-01,19,0,7,6,1,5,4,30,1,27,137,42,12,0
2018-09-01,2,0,2,2,0,0,0,2,1,5,17,43,9,0
2018-10-01,99,0,5,5,0,6,2,15,0,15,49,54,15,1
2018-11-01,12,0,3,2,1,2,2,23,3,17,106,47,7,2
2018-12-01,4,0,1,0,0,0,0,0,0,10,57,53,10,1
2019-01-01,10,0,3,0,0,0,0,0,1,10,29,38,9,1
2019-02-01,6,0,2,0,0,0,0,0,0,11,44,31,3,0
2019-03-01,6,0,5,0,0,0,0,0,1,10,38,36,4,0
2019-04-01,22,0,6,3,1,1,1,12,1,11,45,43,6,0
2019-05-01,6,0,1,0,0,1,1,2,1,7,31,35,8,0
2019-06-01,36,0,4,0,0,0,0,0,1,18,46,26,12,0
2019-07-01,18,0,4,0,0,0,0,0,0,13,23,58,10,1
2019-08-01,5,0,2,0,0,0,0,0,0,10,41,34,9,0
2019-09-01,13,0,1,0,0,0,0,0,2,14,55,27,6,0
2019-10-01,15,0,4,0,0,0,0,0,2,14,45,28,12,0
2019-11-01,7,0,3,0,0,0,0,0,3,17,61,26,5,0
2019-12-01,4,0,1,0,0,0,0,0,5,6,54,22,4,0
