dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-02-01,39,0,4,0,0,0,0,0,0,0,0,3,0,6
2014-03-01,196,0,5,0,0,0,0,0,0,0,0,1,0,2
2014-04-01,255,0,4,0,0,0,0,0,0,0,0,0,0,9
2014-05-01,148,0,4,0,0,0,0,0,0,0,0,1,0,5
2014-06-01,214,0,4,0,0,0,0,0,0,0,0,0,0,6
2014-07-01,421,0,5,0,0,0,0,0,0,1,1,0,0,4
2014-08-01,308,0,4,0,0,0,0,0,0,7,20,0,0,3
2014-09-01,108,0,4,0,0,0,0,0,0,5,16,0,0,4
2014-10-01,188,0,5,0,0,0,0,0,0,0,0,1,0,3
2014-11-01,77,0,8,6,1,4,3,24,0,13,38,459,28,5
2014-12-01,37,0,4,0,0,1,1,2,0,7,30,127,19,1
2015-01-01,83,0,4,3,0,2,1,4,0,7,20,59,4,2
2015-02-01,65,0,4,1,0,2,1,4,0,5,19,63,10,6
2015-03-01,202,0,10,4,1,3,2,8,0,17,44,147,16,5
2015-04-01,265,0,15,9,0,8,3,16,0,22,84,75,16,1
2015-05-01,265,0,9,11,0,11,2,11,0,33,121,38,4,1
2015-06-01,187,0,6,5,2,4,2,5,0,17,50,49,6,4
2015-07-01,116,0,3,0,0,0,0,0,0,11,131,87,4,2
2015-08-01,46,0,4,1,0,1,1,0,0,5,16,54,6,2
2015-09-01,58,0,3,2,0,1,1,4,0,5,16,56,6,3
2015-10-01,56,0,5,1,0,1,1,6,0,7,28,50,4,3
2015-11-01,64,0,4,1,0,0,0,0,0,2,13,69,10,4
2015-12-01,54,0,4,0,0,0,0,0,1,9,26,44,6,2
2016-01-01,100,0,5,5,3,4,2,24,0,10,21,68,11,1
2016-02-01,153,0,3,2,1,1,1,2,1,5,109,44,5,0
2016-03-01,119,0,5,2,0,2,1,4,0,13,34,61,9,2
2016-04-01,74,0,3,0,0,0,0,0,1,7,34,88,7,3
2016-05-01,65,0,5,4,1,2,2,6,0,6,14,106,9,2
2016-06-01,82,0,3,1,0,2,1,0,2,15,65,68,9,0
2016-07-01,72,0,4,2,0,2,1,2,1,12,100,101,7,1
2016-08-01,44,0,5,4,0,4,1,12,0,10,33,260,10,1
2016-09-01,18,0,5,3,1,2,2,14,1,7,43,58,6,1
2016-10-01,43,0,2,0,0,0,0,0,0,4,31,62,5,0
2016-11-01,43,0,4,3,0,2,1,6,0,4,6,57,8,0
2016-12-01,61,0,4,3,1,3,2,2,0,10,13,58,8,2
2017-01-01,95,0,4,2,0,2,1,14,0,6,28,54,3,0
2017-02-01,165,0,5,5,0,2,2,8,0,12,22,52,4,1
2017-03-01,179,0,4,0,0,3,1,6,0,14,43,56,13,0
2017-04-01,149,0,3,0,0,0,0,0,0,17,103,54,3,1
2017-05-01,252,0,3,0,0,0,0,0,0,3,18,50,6,0
2017-06-01,302,0,4,1,0,1,1,2,0,13,62,41,8,0
2017-07-01,390,0,5,2,0,2,1,4,0,15,96,36,9,2
2017-08-01,333,0,3,1,1,0,0,6,0,7,34,37,8,0
2017-09-01,137,0,4,3,0,2,2,18,0,11,80,30,6,1
2017-10-01,129,0,5,5,1,5,2,18,0,27,71,97,9,0
2017-11-01,195,0,3,5,1,4,1,6,1,13,28,51,6,0
2017-12-01,232,0,3,2,0,2,2,0,0,11,55,53,9,1
2018-01-01,245,0,3,3,0,3,1,0,0,8,25,50,9,0
2018-02-01,292,0,3,4,0,4,2,4,0,9,19,65,6,0
2018-03-01,162,0,4,12,0,12,2,16,0,25,44,82,10,1
2018-04-01,173,0,4,1,0,1,1,0,0,4,4,38,8,0
2018-05-01,158,0,6,7,0,7,2,8,1,11,13,70,14,0
2018-06-01,233,0,5,6,2,4,1,10,0,7,10,37,3,1
2018-07-01,153,0,5,4,1,3,2,12,0,11,20,39,4,0
2018-08-01,107,0,4,2,0,2,1,0,0,24,125,58,7,0
2018-09-01,83,0,4,2,0,2,1,2,0,6,7,298,17,0
2018-10-01,142,0,6,7,0,6,2,20,0,17,52,94,15,0
2018-11-01,142,0,6,5,0,3,1,12,0,14,37,70,12,0
2018-12-01,205,0,6,6,1,8,2,20,0,19,48,71,9,0
2019-01-01,251,0,6,8,1,6,2,64,2,14,83,106,10,0
2019-02-01,143,0,8,6,2,5,1,34,1,12,32,66,6,0
2019-03-01,212,0,7,9,0,7,2,26,0,15,21,60,5,0
2019-04-01,171,0,5,3,1,3,1,10,0,11,28,70,10,0
2019-05-01,122,0,9,8,1,7,1,34,0,16,40,66,11,0
2019-06-01,132,0,5,6,2,5,1,28,1,12,36,38,3,0
2019-07-01,127,0,7,6,0,6,1,6,0,10,19,72,12,0
2019-08-01,126,0,3,1,0,0,0,1,1,12,50,54,5,0
2019-09-01,134,0,3,6,3,2,1,40,1,6,29,60,9,0
2019-10-01,206,0,8,11,4,8,2,34,0,14,30,47,7,1
2019-11-01,242,0,11,33,8,23,3,81,3,39,84,52,20,0
2019-12-01,233,0,11,35,7,29,3,43,1,42,36,55,18,1
2020-01-01,8,0,1,0,0,0,0,0,0,2,7,51,4,0
