dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2010-09-01,25,0,1,0,0,0,0,0,0,0,0,0,0,0
2010-10-01,103,0,1,0,0,0,0,0,0,0,0,0,0,4
2010-11-01,86,0,1,0,0,0,0,0,0,0,0,0,0,3
2010-12-01,23,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-01-01,35,0,1,0,0,0,0,0,0,0,0,0,0,1
2011-02-01,7,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-03-01,41,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-04-01,42,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-05-01,24,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-06-01,41,0,1,0,0,0,0,0,0,0,0,0,0,3
2011-07-01,34,0,1,0,0,0,0,0,0,0,0,0,0,4
2011-08-01,17,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-09-01,53,0,1,0,0,0,0,0,0,0,0,0,0,6
2011-10-01,42,0,1,0,0,0,0,0,0,0,0,0,0,0
2011-11-01,34,0,1,0,0,0,0,0,0,0,0,0,0,2
2011-12-01,80,0,1,0,0,0,0,0,0,0,0,0,0,2
2012-01-01,181,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-02-01,70,0,1,0,0,0,0,0,0,0,0,0,0,5
2012-03-01,91,0,1,0,0,0,0,0,0,0,0,0,0,2
2012-04-01,25,0,1,0,0,0,0,0,0,0,0,0,0,3
2012-05-01,96,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-06-01,249,0,1,0,0,0,0,0,0,0,0,0,0,2
2012-07-01,158,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-08-01,154,0,1,0,0,0,0,0,0,0,0,0,0,7
2012-09-01,102,0,1,0,0,0,0,0,0,0,0,0,0,1
2012-10-01,12,0,1,0,0,0,0,0,0,0,0,0,0,4
2012-11-01,16,0,1,0,0,0,0,0,0,0,0,0,0,0
2012-12-01,7,0,1,0,0,0,0,0,0,0,0,0,0,5
2013-01-01,22,0,1,0,0,0,0,0,0,0,0,0,0,7
2013-02-01,5,0,1,0,0,0,0,0,0,0,0,0,0,5
2013-03-01,14,0,1,0,0,0,0,0,0,0,0,0,0,3
2013-04-01,27,0,1,0,0,0,0,0,0,0,0,0,0,3
2013-05-01,1,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-06-01,41,0,1,0,0,0,0,0,0,0,0,0,0,2
2013-07-01,124,0,1,0,0,0,0,0,0,0,0,0,0,3
2013-08-01,24,0,1,0,0,0,0,0,0,0,0,0,0,4
2013-09-01,17,0,1,0,0,0,0,0,0,0,0,0,0,4
2013-10-01,19,0,1,0,0,0,0,0,0,0,0,0,0,4
2013-11-01,21,0,1,0,0,0,0,0,0,0,0,0,0,1
2013-12-01,88,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-01-01,73,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-02-01,31,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-03-01,29,0,1,0,0,0,0,0,0,0,0,0,0,2
2014-04-01,70,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-05-01,216,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-06-01,93,0,1,0,0,0,0,0,0,0,0,0,0,4
2014-07-01,121,0,1,0,0,0,0,0,0,0,0,0,0,7
2014-08-01,25,0,1,0,0,0,0,0,0,0,0,0,0,2
2014-09-01,4,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-10-01,13,0,1,0,0,0,0,0,0,0,0,0,0,9
2014-11-01,19,0,1,0,0,0,0,0,0,0,0,0,0,1
2014-12-01,29,0,1,0,0,0,0,0,0,0,0,0,0,2
2015-01-01,20,0,1,0,0,0,0,0,0,0,0,0,0,0
2015-02-01,26,0,2,0,0,0,0,0,0,0,0,3,0,7
