dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-10-01,32,0,2,13,0,12,2,11,3,13,25,4,1,1
2016-11-01,112,0,5,40,1,37,2,136,1,53,93,14,4,0
2016-12-01,5,0,1,1,0,1,1,4,0,1,2,5,0,0
2017-01-01,0,0,0,3,0,0,0,4,0,0,0,3,0,0
2017-02-01,1,0,1,0,0,1,1,0,0,1,0,3,0,1
2017-03-01,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2017-04-01,0,0,0,0,0,0,0,0,0,0,0,6,1,0
2017-05-01,8,0,2,3,2,1,1,9,0,5,8,1,0,0
2017-06-01,4,0,2,2,0,3,1,2,0,4,2,1,0,0
2017-07-01,13,0,4,9,0,8,3,22,0,13,13,10,1,1
2017-08-01,10,0,3,4,0,4,1,3,0,6,1,7,0,1
2017-09-01,6,0,3,9,1,5,1,12,1,13,20,10,1,0
2017-10-01,27,0,9,21,2,23,2,42,0,44,36,18,9,1
2017-11-01,12,0,4,10,1,10,2,8,0,19,17,17,2,1
2017-12-01,6,0,3,3,0,3,2,4,0,3,0,25,5,3
2018-01-01,6,0,3,6,0,4,1,6,0,4,2,23,3,0
2018-02-01,31,0,6,19,4,15,2,68,1,30,64,472,14,0
2018-03-01,46,0,7,19,1,16,3,52,1,35,74,220,14,1
2018-04-01,48,0,6,33,10,17,2,158,0,43,89,148,19,0
2018-05-01,63,0,10,17,10,13,2,91,0,49,127,105,8,0
2018-06-01,37,0,6,5,6,3,1,40,0,36,115,111,14,0
2018-07-01,7,0,6,7,4,2,2,53,0,31,85,93,13,0
2018-08-01,20,0,9,11,2,9,2,47,0,57,161,85,12,0
2018-09-01,41,0,13,20,3,9,4,110,0,42,112,594,31,1
2018-10-01,31,0,13,30,4,22,3,131,2,58,178,166,29,0
2018-11-01,40,0,13,23,9,16,3,132,0,56,193,157,24,2
2018-12-01,10,0,4,9,4,5,2,70,1,26,155,120,15,0
2019-01-01,57,0,14,36,12,25,4,220,1,63,236,181,28,0
2019-02-01,54,0,15,37,12,27,4,198,1,78,219,203,32,1
2019-03-01,31,0,16,47,22,25,3,271,1,80,272,214,38,0
2019-04-01,19,0,7,26,6,16,5,130,1,74,243,236,27,1
2019-05-01,17,0,10,20,10,14,4,125,0,65,193,246,48,0
2019-06-01,28,0,18,22,2,9,3,101,3,52,138,160,37,0
2019-07-01,40,0,18,51,11,39,6,222,3,101,277,180,33,0
2019-08-01,14,0,11,14,5,12,4,93,3,61,155,181,31,0
2019-09-01,21,0,5,8,3,11,3,49,1,34,106,194,30,0
2019-10-01,37,0,15,34,14,25,3,156,6,88,232,184,44,0
2019-11-01,13,0,8,11,4,8,2,48,12,44,158,192,37,0
2019-12-01,22,0,7,26,3,18,2,71,21,102,343,206,33,0
