dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-06-01,122,0,3,5,0,5,1,6,0,5,3,259,14,8
2014-07-01,10,0,3,2,0,2,1,6,0,4,13,259,15,1
2014-08-01,14,0,2,2,0,2,1,4,0,5,6,82,9,3
2014-09-01,36,0,2,8,0,8,1,10,0,8,5,88,10,3
2014-10-01,10,0,3,1,0,1,1,0,0,4,10,134,9,2
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,91,10,3
2014-12-01,3,0,1,2,0,0,0,1,0,0,0,63,10,1
2015-01-01,4,0,2,1,1,2,1,3,1,3,7,73,4,2
2015-02-01,2,0,2,1,0,1,1,2,1,3,14,56,4,0
2015-03-01,9,0,4,3,0,3,1,10,0,3,5,132,14,3
2015-04-01,7,0,4,3,0,3,1,2,0,4,6,138,19,2
2015-05-01,9,0,5,3,0,2,1,4,0,2,0,61,12,1
2015-06-01,10,0,3,3,0,3,1,4,1,8,53,118,17,4
2015-07-01,12,0,4,6,1,6,1,2,1,11,16,81,18,1
2015-08-01,5,0,3,2,0,2,1,4,3,2,6,85,14,0
2015-09-01,8,0,4,3,0,3,1,10,2,12,35,77,14,0
2015-10-01,6,0,3,4,1,3,1,6,1,9,20,89,13,1
2015-11-01,2,0,2,2,0,1,1,3,0,6,16,123,12,0
2015-12-01,2,0,2,2,0,0,0,2,0,1,1,88,14,1
2016-01-01,13,0,4,6,3,6,1,11,0,17,60,82,17,0
2016-02-01,5,0,2,2,0,1,1,6,1,2,12,84,11,1
2016-03-01,24,0,7,11,1,9,1,10,1,17,30,83,7,0
2016-04-01,20,0,7,7,1,8,1,6,0,26,45,75,11,0
2016-05-01,29,0,5,9,1,7,1,18,3,19,45,91,18,1
2016-06-01,10,0,3,4,0,4,1,11,5,9,23,82,15,2
2016-07-01,8,0,5,4,0,3,1,4,10,5,26,74,11,1
2016-08-01,8,0,3,2,2,2,1,11,5,6,26,85,13,1
2016-09-01,10,0,5,6,1,3,1,7,2,10,16,69,16,1
2016-10-01,8,0,4,3,0,3,1,4,8,6,40,99,18,2
2016-11-01,4,0,4,2,0,4,1,5,7,7,17,174,23,1
2016-12-01,0,0,0,2,0,0,0,0,5,4,7,69,7,2
2017-01-01,4,0,4,3,0,4,1,1,3,4,2,95,12,0
2017-02-01,0,0,0,0,0,0,0,0,10,1,10,137,12,0
2017-03-01,1,0,1,3,0,1,1,2,2,1,2,83,12,0
2017-04-01,5,0,4,4,0,5,1,1,2,7,6,64,6,0
2017-05-01,6,0,5,6,0,6,1,14,5,8,19,66,15,0
2017-06-01,3,0,3,3,0,3,1,0,5,8,24,61,8,0
2017-07-01,1,0,1,2,0,1,1,4,4,1,5,71,6,1
2017-08-01,1,0,1,1,0,1,1,0,3,2,2,73,13,0
2017-09-01,3,0,1,1,1,1,1,2,4,8,51,56,19,0
2017-10-01,3,0,3,3,2,3,1,10,3,7,13,43,15,0
2017-11-01,0,0,0,1,0,0,0,1,2,1,3,46,12,0
2017-12-01,0,0,0,0,0,0,0,0,3,0,4,47,6,0
2018-01-01,2,0,2,2,0,2,1,4,4,2,5,66,10,0
2018-02-01,2,0,2,2,0,2,1,0,3,4,20,49,13,0
2018-03-01,5,0,2,6,1,5,1,8,3,10,33,54,7,0
2018-04-01,1,0,1,1,0,1,1,0,2,3,4,52,4,0
2018-05-01,0,0,0,0,0,0,0,0,3,3,9,56,5,0
2018-06-01,0,0,0,1,0,0,0,5,0,0,0,35,5,0
2018-07-01,0,0,0,0,0,0,0,0,2,0,2,45,3,0
2018-08-01,2,0,1,2,1,1,1,0,4,2,5,55,7,0
2018-09-01,0,0,0,1,0,0,0,2,2,0,3,39,15,0
2018-10-01,1,0,1,0,1,1,1,7,4,6,17,39,4,0
2018-11-01,1,0,1,1,0,1,1,0,3,2,1,49,10,0
2018-12-01,0,0,0,0,0,0,0,0,1,1,0,27,9,1
2019-01-01,0,0,0,0,0,0,0,0,2,2,2,47,12,0
2019-02-01,0,0,0,0,0,0,0,0,1,0,1,39,7,0
2019-03-01,0,0,0,0,0,0,0,0,3,2,0,35,4,0
2019-04-01,0,0,0,1,0,0,0,5,0,0,0,32,6,0
2019-05-01,1,0,1,1,1,1,1,5,4,2,13,21,14,0
2019-06-01,0,0,0,0,0,0,0,0,1,0,1,23,6,0
2019-07-01,0,0,0,0,0,0,0,0,2,1,1,38,4,0
2019-08-01,1,0,1,1,0,1,1,4,1,1,2,24,3,0
2019-09-01,1,0,1,4,1,1,1,0,6,4,9,89,16,1
