dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2016-09-01,48,0,7,33,1,29,1,207,0,41,126,876,152,3
2016-10-01,34,0,6,38,3,31,3,167,0,40,84,91,17,2
2016-11-01,25,0,3,24,2,24,2,140,0,34,134,32,8,2
2016-12-01,11,0,4,14,0,11,2,56,0,16,41,33,6,1
2017-01-01,18,0,5,17,1,17,3,91,0,26,58,35,16,1
2017-02-01,42,0,8,46,2,38,4,225,4,56,125,16,7,0
2017-03-01,50,0,12,54,5,47,4,195,3,69,202,31,10,2
2017-04-01,45,0,9,54,3,45,4,101,2,52,66,15,6,1
2017-05-01,40,0,7,40,2,39,3,126,0,46,98,22,8,0
2017-06-01,81,0,9,87,10,75,4,249,2,103,151,17,7,0
2017-07-01,55,0,7,55,7,55,6,209,2,72,199,28,11,1
2017-08-01,69,0,8,87,1,69,5,225,4,91,118,32,6,3
2017-09-01,53,0,12,48,4,53,6,172,0,67,139,17,4,3
2017-10-01,55,0,10,56,6,55,7,210,1,75,139,28,4,0
2017-11-01,42,0,12,48,1,42,6,152,2,45,73,100,9,0
2017-12-01,37,0,13,54,3,37,5,162,5,47,84,54,10,0
2018-01-01,86,0,14,101,6,86,6,525,3,110,282,62,8,0
2018-02-01,130,0,17,124,8,130,7,410,5,153,266,50,15,1
2018-03-01,399,0,17,146,7,128,5,595,4,140,298,22,12,0
2018-04-01,177,0,14,189,13,177,4,710,4,252,520,44,7,0
2018-05-01,158,0,15,166,6,158,5,596,0,181,293,70,14,1
2018-06-01,149,0,16,150,8,149,7,641,0,182,445,77,9,1
2018-07-01,174,0,17,182,5,174,8,958,4,208,539,63,11,2
2018-08-01,160,0,16,179,13,160,7,897,9,209,540,87,21,2
2018-09-01,135,0,16,144,11,135,6,1072,17,184,772,230,40,0
2018-10-01,153,0,28,159,3,153,8,784,11,194,531,267,50,2
2018-11-01,142,0,24,161,12,142,10,872,16,185,575,218,38,1
2018-12-01,119,0,25,126,9,119,5,509,16,172,520,132,38,2
2019-01-01,121,0,31,146,9,121,7,832,20,175,558,114,42,0
2019-02-01,144,0,23,167,7,144,9,1194,27,193,715,104,37,2
2019-03-01,144,0,36,161,17,143,7,1599,21,209,1038,116,38,1
2019-04-01,132,0,30,151,10,132,7,1078,34,189,703,146,39,1
2019-05-01,158,0,32,180,15,158,6,1503,33,227,1022,330,67,0
2019-06-01,138,0,36,130,4,138,8,923,42,184,741,133,47,2
2019-07-01,92,0,26,122,17,92,9,1014,42,166,747,165,58,0
2019-08-01,111,0,34,134,16,111,10,998,56,192,754,182,46,0
2019-09-01,126,0,32,142,12,126,8,1315,35,181,851,131,55,0
2019-10-01,128,0,34,146,18,128,11,1410,55,183,1038,192,55,0
2019-11-01,109,0,36,127,15,109,9,1613,70,213,1285,176,54,0
2019-12-01,79,0,37,117,16,79,7,1084,85,151,1101,166,79,0
2020-01-01,9,0,7,9,4,9,3,90,7,22,108,112,7,0
