dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-05-01,46,0,4,0,0,0,0,0,0,0,0,0,0,8
2014-06-01,58,0,3,0,0,0,0,0,0,0,0,0,0,5
2014-07-01,76,0,3,0,0,0,0,0,0,0,0,0,0,4
2014-08-01,1,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-09-01,10,0,1,0,0,0,0,0,0,0,0,0,0,4
2014-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2014-11-01,0,0,0,0,0,0,0,0,0,0,0,0,0,4
2014-12-01,30,0,1,0,0,0,0,0,0,0,0,0,0,7
2015-01-01,99,0,2,0,0,0,0,0,0,0,0,0,0,5
2015-02-01,355,0,4,0,0,0,0,0,0,13,8,1,0,5
2015-03-01,244,0,7,8,0,4,2,13,0,13,32,2770,283,8
2015-04-01,34,0,3,2,1,1,1,2,0,8,16,167,41,4
2015-05-01,12,0,2,1,0,1,1,0,0,6,13,86,25,4
2015-06-01,2,0,1,0,0,0,0,0,0,1,6,71,15,1
2015-07-01,0,0,0,0,0,0,0,0,1,1,17,43,9,3
2015-08-01,0,0,0,1,1,0,0,2,0,1,1,40,17,1
2015-09-01,0,0,0,0,0,0,0,0,0,0,0,40,9,4
2015-10-01,0,0,0,0,0,0,0,0,0,0,0,43,16,4
2015-11-01,0,0,0,0,0,0,0,0,0,0,0,21,7,4
2015-12-01,10,0,1,1,1,1,1,7,1,2,35,39,8,2
2016-01-01,30,0,2,2,1,0,0,4,2,8,23,55,12,4
2016-02-01,6,0,3,2,0,1,1,3,0,2,1,29,11,3
2016-03-01,84,0,3,7,6,1,1,22,0,13,46,44,14,2
2016-04-01,86,0,3,0,4,0,0,3,1,7,5,40,14,3
2016-05-01,233,0,3,1,0,1,1,0,1,1,4,50,11,3
2016-06-01,223,0,4,1,1,1,1,0,0,5,57,26,9,3
2016-07-01,440,0,2,0,0,0,0,0,0,9,37,30,6,2
2016-08-01,31,0,2,0,0,0,0,0,0,0,0,56,17,1
2016-09-01,15,0,2,0,0,0,0,0,1,4,21,65,23,2
2016-10-01,7,0,1,1,0,0,0,0,1,1,8,65,15,0
2016-11-01,12,0,3,2,0,2,2,22,2,2,5,55,19,0
2016-12-01,1,0,1,1,0,1,1,0,4,2,9,74,16,1
2017-01-01,0,0,0,0,0,0,0,0,3,2,20,86,18,1
2017-02-01,0,0,0,1,0,0,0,6,6,2,22,55,13,1
2017-03-01,0,0,0,1,1,0,0,6,3,1,23,53,18,1
2017-04-01,1,0,1,3,0,1,1,16,1,5,7,33,16,0
2017-05-01,47,0,4,17,7,9,2,73,2,46,166,206,29,1
2017-06-01,6,0,4,6,5,3,2,40,2,10,41,50,13,1
2017-07-01,1,0,1,2,1,1,1,1,6,2,9,32,9,0
2017-08-01,0,0,0,3,1,0,0,2,5,1,9,42,12,0
2017-09-01,0,0,0,0,0,0,0,0,4,0,5,37,7,0
2017-10-01,0,0,0,0,0,0,0,0,3,0,3,33,12,2
2017-11-01,0,0,0,0,0,0,0,0,1,1,10,38,15,0
2017-12-01,0,0,0,0,0,0,0,0,1,1,2,25,9,0
2018-01-01,0,0,0,0,0,0,0,0,2,0,1,18,6,0
2018-02-01,0,0,0,0,0,0,0,0,0,0,0,23,9,1
2018-03-01,0,0,0,0,0,0,0,0,0,0,0,34,11,0
2018-04-01,0,0,0,0,0,0,0,0,1,0,0,28,5,1
2018-05-01,0,0,0,0,0,0,0,0,0,0,0,20,8,0
2018-06-01,0,0,0,0,0,0,0,0,3,1,14,19,8,0
2018-07-01,0,0,0,0,0,0,0,0,0,0,0,13,6,1
2018-08-01,0,0,0,0,0,0,0,0,0,0,0,7,4,0
2018-09-01,0,0,0,0,0,0,0,0,0,0,0,10,1,0
2018-10-01,0,0,0,0,0,0,0,0,0,0,0,7,2,0
2018-11-01,0,0,0,0,0,0,0,0,0,0,0,9,6,1
2018-12-01,0,0,0,0,0,0,0,0,0,2,7,7,3,0
2019-01-01,0,0,0,0,0,0,0,0,0,0,0,3,0,0
2019-02-01,0,0,0,1,1,0,0,0,1,2,5,8,2,0
2019-03-01,0,0,0,0,0,0,0,0,0,0,0,11,1,0
2019-04-01,0,0,0,0,0,0,0,0,0,0,0,8,3,0
2019-05-01,0,0,0,0,0,0,0,0,1,0,1,6,2,0
2019-06-01,0,0,0,0,0,0,0,0,0,0,0,4,2,0
2019-07-01,0,0,0,0,0,0,0,0,0,2,12,9,1,0
2019-08-01,0,0,0,0,0,0,0,0,0,0,0,4,2,0
2019-09-01,0,0,0,0,0,0,0,0,0,0,0,3,2,0
2019-10-01,1,0,1,1,0,0,0,0,0,0,0,4,0,0
2019-11-01,1,0,1,7,0,1,1,0,7,1,0,12,2,0
