dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-02-01,59,0,2,0,0,0,0,0,0,12,0,1,0,2
2014-03-01,47,0,3,0,0,0,0,0,0,2,0,1,0,5
2014-04-01,48,0,3,1,0,1,1,4,0,4,3,1,1,8
2014-05-01,38,0,2,0,0,0,0,0,0,15,3,0,0,4
2014-06-01,51,0,2,0,0,0,0,0,0,3,0,1,0,2
2014-07-01,153,0,5,8,0,7,1,12,0,23,7,14,18,8
2014-08-01,78,0,3,0,0,1,1,0,0,10,10,66,14,5
2014-09-01,131,0,10,10,1,7,1,13,4,71,177,768,83,7
2014-10-01,165,0,11,14,4,11,2,24,3,91,169,586,85,3
2014-11-01,65,0,6,9,4,5,1,25,2,73,157,221,53,8
2014-12-01,71,0,7,22,0,19,1,35,1,82,142,141,46,6
2015-01-01,55,0,7,21,7,13,2,48,8,65,164,94,32,3
2015-02-01,102,0,8,12,5,7,1,17,7,99,176,139,35,5
2015-03-01,126,0,9,16,3,10,2,12,13,64,155,136,46,8
2015-04-01,75,0,7,15,5,11,1,47,11,90,254,92,42,3
2015-05-01,25,0,4,3,4,0,0,3,3,44,90,81,39,5
2015-06-01,69,0,5,11,0,7,1,13,1,15,42,53,30,3
2015-07-01,121,0,2,1,0,0,0,1,0,4,13,65,24,3
2015-08-01,86,0,2,2,1,0,0,0,2,11,13,52,23,3
2015-09-01,82,0,5,3,1,1,1,1,1,40,71,66,27,3
2015-10-01,89,0,5,7,0,2,1,6,3,77,190,36,13,2
2015-11-01,97,0,4,4,0,1,1,5,4,32,65,49,21,3
2015-12-01,53,0,5,4,1,1,1,12,5,69,168,82,21,2
2016-01-01,22,0,4,4,9,2,1,13,3,31,120,56,15,1
2016-02-01,114,0,4,14,4,10,2,14,2,116,309,117,21,3
2016-03-01,74,0,5,17,5,10,2,16,8,42,68,61,29,0
2016-04-01,129,0,8,21,14,17,2,32,1,81,109,73,23,0
2016-05-01,203,0,6,11,9,9,2,16,3,101,200,38,18,1
2016-06-01,57,0,7,20,8,11,2,46,1,47,109,46,18,3
2016-07-01,81,0,8,8,2,4,1,2,5,56,192,36,18,2
2016-08-01,49,0,5,13,2,8,2,21,4,36,67,85,29,1
2016-09-01,39,0,4,6,2,8,1,20,2,25,42,46,14,1
2016-10-01,121,0,9,18,1,12,2,16,2,30,45,56,13,1
2016-11-01,64,0,8,20,3,5,1,23,5,26,123,42,14,1
2016-12-01,72,0,5,4,6,14,1,16,4,40,92,39,15,1
2017-01-01,150,0,4,5,2,0,0,9,6,23,95,42,13,1
2017-02-01,213,0,9,19,6,8,2,18,3,109,234,42,20,2
2017-03-01,249,0,7,38,12,36,2,47,7,197,568,57,14,1
2017-04-01,64,0,6,26,4,18,2,48,7,78,247,65,14,1
2017-05-01,145,0,7,15,1,8,1,8,9,42,134,54,21,1
2017-06-01,63,0,7,8,3,10,2,19,9,36,98,45,16,0
2017-07-01,58,0,4,6,1,2,1,9,4,32,82,33,12,1
2017-08-01,70,0,5,14,3,6,1,45,1,29,134,26,15,1
2017-09-01,32,0,7,8,2,1,1,4,2,10,23,40,15,0
2017-10-01,163,0,8,12,11,19,2,58,0,64,130,41,15,1
2017-11-01,37,0,6,8,1,6,2,15,2,22,82,51,16,1
2017-12-01,73,0,7,12,1,10,2,10,0,41,104,34,11,2
2018-01-01,227,0,7,51,5,44,3,35,6,80,158,41,17,2
2018-02-01,146,0,6,31,1,33,3,22,7,72,56,40,14,1
2018-03-01,158,0,8,11,0,10,2,14,3,46,84,61,20,0
2018-04-01,40,0,4,1,0,0,0,2,2,22,83,40,19,3
2018-05-01,43,0,3,3,0,0,0,1,3,4,28,40,8,1
2018-06-01,116,0,10,9,1,6,2,14,2,34,40,33,16,0
2018-07-01,285,0,6,20,5,17,3,19,4,112,304,47,12,1
2018-08-01,169,0,4,17,5,12,3,34,5,38,141,41,23,0
2018-09-01,70,0,6,13,4,11,3,21,4,38,118,37,14,0
2018-10-01,70,0,5,5,2,7,2,12,4,33,89,50,13,0
2018-11-01,13,0,4,6,2,1,1,10,5,15,66,36,14,0
2018-12-01,22,0,4,4,1,3,2,2,2,9,12,35,6,0
2019-01-01,18,0,5,5,0,1,1,3,13,347,1139,35,12,1
2019-02-01,67,0,4,2,1,3,1,2,21,34,96,36,10,0
2019-03-01,64,0,7,7,1,1,1,8,15,24,31,45,15,1
2019-04-01,22,0,3,0,0,0,0,0,5,11,38,28,12,1
2019-05-01,17,0,3,0,2,1,1,2,2,21,47,44,14,1
2019-06-01,34,0,4,3,1,8,1,9,3,25,37,30,14,0
2019-07-01,8,0,2,0,0,0,0,0,4,15,48,45,12,0
2019-08-01,18,0,4,2,1,1,1,4,7,22,25,41,12,0
2019-09-01,6,0,2,1,0,0,0,5,2,26,53,27,11,0
2019-10-01,21,0,4,3,1,3,1,5,11,36,76,27,8,1
2019-11-01,14,0,2,0,0,0,0,0,16,30,54,29,10,0
2019-12-01,2,0,1,1,0,0,0,0,25,19,49,24,12,1
2020-01-01,1,0,1,0,0,0,0,0,0,0,0,2,1,0
