dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-01-01,4,0,1,0,0,0,0,0,0,0,0,0,0,3
2014-02-01,43,0,5,7,1,5,1,15,0,13,24,87,8,3
2014-03-01,45,0,5,9,2,8,1,19,0,29,66,13,5,3
2014-04-01,29,0,4,7,2,4,1,16,0,18,39,2,7,5
2014-05-01,50,0,3,4,2,1,1,17,0,14,38,32,4,3
2014-06-01,22,0,4,25,6,2,1,37,0,15,25,68,14,3
2014-07-01,35,0,5,12,9,6,1,24,0,24,35,39,14,6
2014-08-01,42,0,5,12,19,4,1,34,0,38,113,34,13,2
2014-09-01,93,0,2,30,23,2,1,51,0,64,148,35,13,1
2014-10-01,63,0,11,27,15,10,1,65,0,56,115,39,15,5
2014-11-01,85,0,4,5,3,3,1,19,0,41,119,30,10,4
2014-12-01,67,0,6,17,14,10,1,32,0,48,89,28,11,3
2015-01-01,92,0,13,25,9,15,1,67,0,66,147,65,13,4
2015-02-01,145,0,12,41,16,24,1,116,0,102,270,53,10,3
2015-03-01,98,0,14,28,7,24,1,61,0,56,109,48,21,3
2015-04-01,74,0,10,18,9,8,1,53,0,83,243,50,21,5
2015-05-01,78,0,4,6,1,6,1,16,0,54,166,45,7,6
2015-06-01,85,0,9,18,3,9,1,18,0,56,139,37,10,9
2015-07-01,122,0,11,16,5,12,1,15,0,112,290,36,8,2
2015-08-01,93,0,12,22,4,18,1,7,0,86,205,52,23,4
2015-09-01,126,0,13,37,6,29,1,35,0,92,194,138,28,3
2015-10-01,106,0,11,25,7,13,1,40,0,87,263,149,36,2
2015-11-01,37,0,4,6,7,8,1,30,0,42,81,48,11,6
2015-12-01,100,0,8,13,3,12,1,26,0,75,212,68,16,2
2016-01-01,171,0,18,38,7,26,1,58,0,124,300,120,38,3
2016-02-01,155,0,20,38,11,31,1,43,0,120,300,61,25,4
2016-03-01,169,0,20,41,8,31,1,118,0,132,332,82,28,1
2016-04-01,78,0,15,28,5,21,1,34,0,63,175,69,21,5
2016-05-01,116,0,9,16,4,12,1,17,0,102,257,64,19,2
2016-06-01,123,0,15,32,5,24,1,49,0,90,245,97,18,2
2016-07-01,121,0,13,26,8,22,1,65,0,128,315,66,25,4
2016-08-01,80,0,11,17,11,9,1,50,0,82,176,109,21,0
2016-09-01,69,0,10,21,6,10,1,32,0,44,84,48,16,1
2016-10-01,49,0,7,12,5,11,1,27,0,36,58,96,26,1
2016-11-01,43,0,7,11,2,9,1,18,0,38,61,59,26,2
2016-12-01,180,0,8,13,0,13,1,10,0,60,135,45,16,0
2017-01-01,106,0,13,20,5,20,1,23,0,146,353,126,30,2
2017-02-01,120,0,12,23,1,22,1,22,0,100,229,56,26,1
2017-03-01,36,0,7,11,1,7,1,13,1,54,144,76,16,2
2017-04-01,46,0,10,13,0,12,1,20,0,39,83,60,19,0
2017-05-01,29,0,9,17,6,11,1,24,1,47,126,57,20,1
2017-06-01,17,0,3,7,1,1,1,16,0,175,482,49,11,0
2017-07-01,8,0,5,12,3,8,1,11,0,22,25,73,9,1
2017-08-01,9,0,5,8,1,4,1,24,0,11,14,86,14,3
2017-09-01,11,0,4,8,2,3,1,17,0,36,64,59,22,1
2017-10-01,44,0,9,15,11,11,1,43,0,229,603,75,13,0
2017-11-01,56,0,8,13,6,12,1,27,0,95,244,68,18,2
2017-12-01,30,0,9,20,8,14,1,43,1,57,104,93,23,3
2018-01-01,20,0,8,14,5,9,1,35,0,21,39,76,24,1
2018-02-01,19,0,12,15,2,12,1,8,1,204,490,80,16,1
2018-03-01,16,0,7,9,3,6,1,17,1,40,87,102,26,0
2018-04-01,32,0,9,10,3,9,1,12,2,67,144,71,26,1
2018-05-01,27,0,12,21,1,16,1,20,1,63,139,69,10,2
2018-06-01,32,0,11,16,0,18,1,14,3,35,67,59,17,0
2018-07-01,11,0,8,10,3,9,1,21,2,20,31,65,14,1
2018-08-01,8,0,6,9,3,7,1,23,3,68,153,52,17,0
2018-09-01,5,0,4,6,2,5,1,5,3,11,29,60,16,0
2018-10-01,25,0,8,14,0,12,1,5,1,59,142,59,20,0
2018-11-01,7,0,7,7,1,6,1,6,2,64,175,72,18,1
2018-12-01,13,0,10,15,4,10,1,21,1,28,87,68,19,0
2019-01-01,13,0,4,6,1,5,1,4,3,75,283,72,13,1
2019-02-01,19,0,5,7,3,6,1,18,1,52,175,64,25,0
2019-03-01,7,0,6,6,0,7,1,6,4,13,16,86,12,1
2019-04-01,6,0,3,8,0,6,1,1,4,10,13,75,22,0
2019-05-01,10,0,6,9,0,8,1,5,2,12,16,76,25,0
2019-06-01,15,0,6,8,0,8,1,8,4,20,42,69,16,0
2019-07-01,25,0,10,18,3,15,1,18,1,26,37,83,22,0
2019-08-01,20,0,7,15,2,12,1,25,3,29,80,97,16,0
2019-09-01,11,0,8,16,4,11,1,11,2,15,5,103,29,1
2019-10-01,20,0,14,15,0,15,1,22,7,21,37,76,19,0
2019-11-01,18,0,6,20,2,18,1,6,4,31,37,60,18,1
2019-12-01,6,0,4,9,2,4,1,14,11,22,51,73,18,0
