dates,monthly_commits,monthly_commit_comments,monthly_contributors,monthly_open_PRs,monthly_closed_PRs,monthly_merged_PRs,monthly_PR_mergers,monthly_PR_comments,monthly_open_issues,monthly_closed_issues,monthly_issue_comments,monthly_stargazer,monthly_forks,monthly_watchers
2014-02-01,3,0,1,0,0,0,0,0,0,0,0,0,0,1
2014-03-01,61,0,1,0,0,0,0,0,1,0,0,3,0,0
2014-04-01,26,0,1,1,0,1,1,0,0,7,0,1,0,0
2014-05-01,53,0,1,0,0,0,0,0,0,3,5,5,0,3
2014-06-01,36,0,1,0,0,0,0,0,0,1,4,35,2,1
2014-07-01,10,0,2,1,0,1,1,4,1,2,10,6,0,1
2014-08-01,6,0,1,0,0,0,0,0,0,1,4,12,0,0
2014-09-01,0,0,0,0,0,0,0,0,0,0,0,9,1,2
2014-10-01,4,0,2,1,0,1,1,2,0,4,12,6,1,2
2014-11-01,25,0,4,3,0,3,1,10,2,11,91,112,3,0
2014-12-01,25,0,4,5,0,5,1,12,1,10,26,33,4,2
2015-01-01,6,0,2,1,0,1,1,0,0,4,7,30,3,1
2015-02-01,10,0,1,0,0,0,0,0,0,2,10,21,1,0
2015-03-01,14,0,1,0,0,0,0,0,0,20,89,36,0,0
2015-04-01,24,0,2,1,0,1,1,2,1,5,25,37,4,2
2015-05-01,19,0,2,1,0,1,1,2,1,14,72,28,3,1
2015-06-01,8,0,1,0,0,0,0,0,1,8,49,38,3,0
2015-07-01,0,0,0,0,0,0,0,0,0,0,0,53,1,0
2015-08-01,4,0,2,1,0,1,1,0,0,6,11,30,3,0
2015-09-01,19,0,2,4,1,3,1,22,0,19,62,42,4,0
2015-10-01,9,0,3,2,0,2,1,18,0,7,25,41,5,1
2015-11-01,11,0,1,0,0,0,0,0,0,4,8,31,2,1
2015-12-01,0,0,0,0,0,0,0,0,0,2,6,31,4,0
2016-01-01,5,0,4,3,0,2,1,5,1,7,38,42,5,0
2016-02-01,9,0,2,2,1,2,1,3,0,7,15,50,2,1
2016-03-01,269,0,2,13,0,13,1,2,1,48,214,42,4,0
2016-04-01,99,0,1,12,0,11,1,5,0,23,41,60,3,1
2016-05-01,35,0,1,4,0,4,1,0,1,13,44,59,2,0
2016-06-01,73,0,2,4,0,4,1,2,1,32,150,75,5,0
2016-07-01,14,0,2,4,1,2,1,15,3,7,35,78,2,0
2016-08-01,1,0,1,0,0,0,0,0,4,6,72,79,3,0
2016-09-01,21,0,3,6,1,5,1,0,1,15,48,53,9,0
2016-10-01,79,0,1,11,1,10,1,0,10,26,96,83,7,0
2016-11-01,56,0,4,9,1,9,1,11,3,28,87,88,10,1
2016-12-01,64,0,3,24,0,22,1,49,4,39,113,71,5,0
2017-01-01,41,0,4,9,0,11,1,32,12,24,130,143,8,1
2017-02-01,2,0,2,1,0,1,1,0,4,8,66,82,9,0
2017-03-01,2,0,2,2,0,2,1,0,11,9,101,63,7,0
2017-04-01,5,0,3,5,0,5,1,4,17,12,117,73,4,1
2017-05-01,7,0,1,3,0,1,1,0,9,7,48,82,5,0
2017-06-01,4,0,4,2,0,4,1,0,7,12,60,74,2,1
2017-07-01,0,0,0,0,0,0,0,0,5,0,12,70,8,0
2017-08-01,13,0,2,5,1,4,1,62,8,8,57,74,3,0
2017-09-01,20,0,1,1,0,1,1,0,3,5,27,130,4,0
2017-10-01,9,0,2,3,0,3,1,4,4,14,83,83,4,0
2017-11-01,0,0,0,0,0,0,0,0,7,4,61,87,4,0
2017-12-01,1,0,1,2,0,1,1,5,6,2,30,96,10,0
2018-01-01,61,0,2,2,0,2,1,0,13,10,90,89,7,0
2018-02-01,5,0,2,4,0,2,1,2,4,9,66,91,7,1
2018-03-01,7,0,5,5,2,4,1,14,4,15,40,114,7,1
2018-04-01,0,0,0,0,0,0,0,0,5,6,24,102,7,0
2018-05-01,18,0,3,3,1,2,1,8,5,12,88,95,7,0
2018-06-01,11,0,3,2,1,2,1,2,3,9,21,94,9,1
2018-07-01,2,0,2,2,0,2,1,4,4,7,42,87,8,0
2018-08-01,0,0,0,0,0,0,0,0,5,1,35,79,7,0
2018-09-01,3,0,2,3,0,3,1,4,4,4,14,85,7,0
2018-10-01,12,0,2,3,0,3,1,4,4,7,26,89,4,0
2018-11-01,32,0,2,8,0,8,1,2,4,21,100,85,5,0
2018-12-01,0,0,0,0,0,0,0,0,1,5,36,91,6,0
2019-01-01,0,0,0,0,0,0,0,0,4,3,43,91,7,0
2019-02-01,4,0,1,3,0,3,1,0,7,6,17,101,4,0
2019-03-01,6,0,3,6,1,4,1,26,7,9,74,116,11,0
2019-04-01,7,0,1,4,0,4,1,2,6,13,63,98,6,0
2019-05-01,7,0,1,3,0,2,1,0,3,12,51,105,10,0
2019-06-01,7,0,3,2,0,1,1,2,1,4,8,107,5,0
2019-07-01,8,0,3,6,0,5,1,8,2,16,44,101,10,0
2019-08-01,2,0,1,2,0,2,1,0,9,5,43,86,9,0
2019-09-01,7,0,1,1,0,0,0,1,13,4,58,94,7,0
2019-10-01,19,0,3,5,0,8,1,2,3,18,46,95,11,0
2019-11-01,0,0,0,1,1,0,0,3,16,7,53,88,10,0
2019-12-01,1,0,1,5,1,1,1,3,7,9,54,110,8,0
